period,faceoff_time,faceoff_zone,faceoff_shorthand,faceoff_flags,home_team_code,away_team_code,home_team_id,away_team_id,home_forwards,home_defense,away_forwards,away_defense,home_skaters,away_skaters,strength
1,0.0,nz,NZ REC FACE OFF+,"centerfodot, lefthandedopponent",BUF,MTL,7,8,"['8477949', '8479359', '8481522']","['8477365', '8480196']","['8476469', '8478133', '8482476']","['8476875', '8478851']",5,5,5v5
2,1200.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",BUF,MTL,7,8,"['8477949', '8479420', '8482097', '8482175']",['8480839'],"['8476981', '8477989']","['8475233', '8476875']",5,4,4v5
3,2400.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",BUF,MTL,7,8,"['8479420', '8480802']","['8480839', '8481524']","['8480018', '8481540']","['8476875', '8483457']",4,4,4v4
