period,faceoff_time,faceoff_zone,faceoff_shorthand,faceoff_flags,home_team_code,away_team_code,home_team_id,away_team_id,home_forwards,home_defense,away_forwards,away_defense,home_skaters,away_skaters,strength
1,0.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, righthandedopponent",MTL,EDM,8,22,"['8478133', '8481540', '8481618']","['8475233', '8483457']","['8470621', '8477934', '8481617']","['8476967', '8479442']",5,5,5v5
2,1200.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",MTL,EDM,8,22,"['8476981', '8477989']","['8475233', '8476875']","['8475786', '8476454', '8477934', '8478402']",['8480803'],4,5,5v4
3,2400.0,nz,NZ REC FACE OFF+,"centerfodot, lefthandedopponent",MTL,EDM,8,22,"['8475848', '8476981', '8477989']","['8475233', '8483457']","['8474641', '8477015', '8477406']","['8476967', '8479442']",5,5,5v5
