period,faceoff_time,faceoff_zone,faceoff_shorthand,faceoff_flags,home_team_code,away_team_code,home_team_id,away_team_id,home_forwards,home_defense,away_forwards,away_defense,home_skaters,away_skaters,strength
1,0.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, righthandedopponent",MTL,NSH,8,18,"['8479339', '8481523', '8483515']","['8475233', '8482964']","['8476539', '8476925', '8482742']","['8476869', '8483565']",5,5,5v5
2,1200.0,nz,NZ FACE OFF+,"centerfodot, righthandedopponent",MTL,NSH,8,18,"['8479339', '8480018', '8481540', '8483515']",['8483457'],"['8476925', '8482062']","['8476869', '8483565']",5,4,4v5
3,2400.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",MTL,NSH,8,18,"['8479339', '8480018', '8481540', '8483515']",['8483457'],['8476873'],"['8476869', '8478851']",5,3,3v5
