period,faceoff_time,faceoff_zone,faceoff_shorthand,faceoff_flags,home_team_code,away_team_code,home_team_id,away_team_id,home_forwards,home_defense,away_forwards,away_defense,home_skaters,away_skaters,strength
1,0.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",BOS,EDM,6,22,"['8477956', '8478401', '8479987']","['8478450', '8479325']","['8477934', '8478042', '8481617']","['8476967', '8477498']",5,5,5v5
2,1200.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, righthandedopponent",BOS,EDM,6,22,"['8477956', '8478401', '8479987']","['8478450', '8479325']","['8477934', '8478042', '8481617']","['8476967', '8477498']",5,5,5v5
3,2400.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",BOS,EDM,6,22,"['8477956', '8478401', '8479987']","['8478450', '8479325']","['8477934', '8478042', '8481617']","['8476967', '8477498']",5,5,5v5
