period,faceoff_time,faceoff_zone,faceoff_shorthand,faceoff_flags,home_team_code,away_team_code,home_team_id,away_team_id,home_forwards,home_defense,away_forwards,away_defense,home_skaters,away_skaters,strength
1,0.0,nz,NZ REC FACE OFF+,"centerfodot, lefthandedopponent",WSH,MTL,15,8,"['8476880', '8479400', '8481580']","['8474590', '8480796']","['8480018', '8481540', '8482476']","['8476875', '8482087']",5,5,5v5
2,1200.0,nz,NZ REC FACE OFF+,"centerfodot, righthandedopponent",WSH,MTL,15,8,"['8475343', '8479520']","['8474590', '8480796']","['8480018', '8481523', '8481540', '8483515']",['8476875'],4,5,5v4
3,2400.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, righthandedopponent",WSH,MTL,15,8,"['8476880', '8479400', '8481580']","['8474590', '8480796']","['8480018', '8481540', '8482476']","['8476875', '8482087']",5,5,5v5
