period,faceoff_time,faceoff_zone,faceoff_shorthand,faceoff_flags,home_team_code,away_team_code,home_team_id,away_team_id,home_forwards,home_defense,away_forwards,away_defense,home_skaters,away_skaters,strength
1,0.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",FLA,BOS,13,6,"['8477493', '8477933', '8478542']","['8475179', '8478055']","['8477956', '8478401', '8479987']","['8477507', '8479325']",5,5,5v5
2,1200.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, righthandedopponent",FLA,BOS,13,6,"['8477409', '8477493', '8477933', '8479314']",['8477220'],"['8473419', '8475745']","['8477507', '8478443']",5,4,4v5
3,2400.0,nz,NZ REC FACE OFF+,"centerfodot, righthandedopponent",FLA,BOS,13,6,"['8477935', '8479314', '8480185']","['8477220', '8478859']","['8473419', '8475745', '8477496']","['8479325', '8482511']",5,5,5v5
4,3600.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",FLA,BOS,13,6,"['8477409', '8477493', '8477933']",[],"['8477496', '8477956']",['8479325'],3,3,3v3
