period,faceoff_time,faceoff_zone,faceoff_shorthand,faceoff_flags,home_team_code,away_team_code,home_team_id,away_team_id,home_forwards,home_defense,away_forwards,away_defense,home_skaters,away_skaters,strength
1,0.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",NYI,CAR,2,12,"['8475314', '8477500', '8478445']","['8476917', '8477506']","['8478420', '8478427', '8482809']","['8470613', '8476958']",5,5,5v5
2,1200.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",NYI,CAR,2,12,"['8475314', '8477500', '8478445']","['8476917', '8481014']","['8478420', '8478427', '8482809']","['8470613', '8476958']",5,5,5v5
3,2400.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",NYI,CAR,2,12,"['8475314', '8475754', '8477500', '8478445']",['8477950'],"['8473533', '8476921']","['8470613', '8476958']",5,4,4v5
4,3600.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",NYI,CAR,2,12,"['8477500', '8478445']",['8476917'],['8473533'],"['8470613', '8476958']",3,3,3v3
