period,faceoff_time,faceoff_zone,faceoff_shorthand,faceoff_flags,home_team_code,away_team_code,home_team_id,away_team_id,home_forwards,home_defense,away_forwards,away_defense,home_skaters,away_skaters,strength
1,0.0,nz,NZ REC FACE OFF+ENTRY,"centerfodot, lefthandedopponent",CGY,ANA,20,24,"['8481028', '8481068', '8483609']","['8477346', '8479402']","['8477952', '8482745', '8483445']","['8475208', '8481563']",5,5,5v5
2,1200.0,nz,NZ FACE OFF+,"centerfodot, lefthandedopponent",CGY,ANA,20,24,"['8481028', '8481068', '8483609']","['8477346', '8479402']","['8477952', '8482745', '8483445']","['8475208', '8481563']",5,5,5v5
3,2400.0,nz,NZ REC FACE OFF+,"centerfodot, righthandedopponent",CGY,ANA,20,24,"['8475172', '8476456']","['8477346', '8479402']","['8476458', '8478873']","['8481605', '8483490']",4,4,4v4
