Metric Label,Montreal,Montreal rank,League Median,League Leader Value,League Leader Team,Players
"ES Expected Goals For",2.6059922840107252,18,2.6420020306905503,3.076510665955473,"Edmonton",""
"ES Actual to Expected Goals For",-0.20106063562306842,18,-0.1891837520843841,0.2742016527525838,"Buffalo",""
"ES Expected Goals Against",2.745631943756982,23,2.5891139262405316,2.2747028121836794,"Los Angeles",""
"ES Actual to Expected Goals Against",-0.02004274225097118,25,-0.1520442739061807,-0.6005191246540924,"Winnipeg",""
"PP Expected Goals For",6.087383796732874,30,7.8733173268329955,10.561605565346154,"New Jersey",""
"PP Actual to Expected Goals For",1.0923257198506948,7,-0.11696886456515754,2.097496775468301,"Washington",""
"SH Expected Goals Against",7.831107823402767,13,7.913376121850451,6.4153167777555336,"New Jersey",""
"SH Actual to Expected Goals Against",-0.8142990393976967,6,-0.2003140469643665,-1.7035174579100127,"Nashville",""
"ES Shot Attempts For",54.20570182032543,28,57.66168649330599,70.44472705843609,"Carolina",""
"ES Shot Attempts Against",60.23989395627991,23,58.00753297159001,48.83017306375714,"Carolina",""
"ES% Shot Attempts On Net",0.49314331809626244,30,0.5090494541237243,0.5376735715911678,"Edmonton",""
"ES Screened Shots On Net",4.897315356716683,16,4.896847218112699,6.002462121036684,"Colorado",""
"ES% of Shots On Net That Are Screened",0.183206106870229,5,0.1684931506849315,0.1929735234215886,"St. Louis",""
"ES% Face-Offs Won Resulting in Shot On Net",0.22800718132854578,28,0.25163202458268474,0.2865583456425406,"NY Islanders",""
"ES Goals Scored",2.6235617982410804,18,2.666948482696016,3.1614940667431846,"Washington",""
"ES Shot Attempts From Slot For",22.21282322510781,8,21.60174079368865,25.31447426575729,"Carolina",""
"ES Passes to the Slot For",14.429589890325941,6,13.044628383012743,15.940367966305862,"Carolina",""
"ES Shot Attempts From Slot Off the Cycle",8.162192261194471,9,7.507346942466764,10.089852993933093,"Colorado",""
"ES Shot Attempts From Slot Off the Rush",6.427726405690646,16,6.406251099448221,8.120041836244248,"Edmonton",""
"ES Odd Man Rushes",5.013918103305175,17,5.017840320823135,6.263627385026105,"Edmonton",""
"ES Shot Attempts From Slot Off the Forecheck",2.536109738299711,15,2.5138629753594532,3.100328448492516,"Carolina",""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.3409315857676631,32,1.80267492489646,2.101805107339391,"NY Islanders",""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.15080789946140036,21,0.15426731078904993,0.21739130434782608,"NY Rangers",""
"ES Shot Attempts From Slot Against",23.99101511058232,28,21.496607229498867,17.443472314827112,"Florida",""
"ES Shots On Net From Slot Against",13.453041887647316,23,12.32913237476884,11.007665541896733,"Vegas",""
"ES% of Opposition Shot Attempts Blocked",0.2811517057827244,11,0.2759822249620518,0.3126658624849216,"Philadelphia",""
"ES Shot Attempts From Slot Off the Cycle Against",8.380822411047895,28,7.704829373677053,5.901708133183172,"Florida",""
"ES Shot Attempts From Slot Off the Rush Against",7.564603184928448,31,6.5452775578856475,5.22326355916676,"Los Angeles",""
"ES Shot Attempts From Slot Off the Forecheck Against",2.5506850816232722,20,2.4629445539952988,2.005045439086655,"Utah",""
"ES Odd Man Rushes Against",5.013918103305175,17,4.9540546128329845,3.8938542954080195,"New Jersey",""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.18727272727272729,1,0.25003354969946534,0.18727272727272729,"Montreal",""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.15454545454545454,15,0.15743965052209763,0.12568306010928962,"Toronto",""
"ES OZ Possession Time",342.7630046476456,20,348.38896463550486,437.7014313994637,"Edmonton",""
"ES OZ Face-Offs Win%",0.4890254609306409,8,0.47157781471577814,0.5215716486902927,"NY Islanders",""
"ES OZ Dump-In Recoveries",16.397261239006752,12,15.690087948983098,20.786592997459284,"Florida",""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.5717171717171717,22,0.5810952028165951,0.631503920171062,"Florida",""
"ES Controlled Entry Success%",0.5428459119496856,22,0.5456046310413387,0.589777630268835,"Colorado",""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.193042731372128,25,0.20032686630113877,0.23952380952380953,"Carolina",""
"ES OZ Shot Attempts Recovered",13.453041887647316,21,13.86654647284995,17.90000953280585,"Carolina",""
"ES OZ Contested Loose Puck Recovery Win%",0.24304100568692008,27,0.2523004960951199,0.2710733778047301,"Toronto",""
"ES Opposition OZ Possession Time",371.9481862739672,26,343.3031363292919,267.78550753524985,"Carolina",""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6189451022604952,15,0.6174095154762265,0.6528925619834711,"Vegas",""
"ES Team Entry Denial Success%",0.4562899786780384,13,0.4517143968068814,0.47692862292718097,"Los Angeles",""
"ES DZ Contested Loose Puck Recovery Win%",0.29988974641675853,18,0.3012423579312329,0.32516703786191536,"Ottawa",""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.40541120893278937,22,0.41632608322766707,0.48019047619047617,"Carolina",""
"ES Breakout Success% (Reaches NZ)",0.6403651115618662,13,0.6331250983680403,0.658806932688432,"Edmonton",""
"ES Zone Exit Success% (Reaches NZ)",0.8078287987955695,5,0.7981649908013433,0.8208227311280747,"Edmonton",""
"ES Successful Stretch Passes",15.114631026533335,9,14.764967122182764,17.249932809741136,"Colorado",""
"Goalie ES Save%",0.9081532416502947,25,0.916162596418661,0.9390663390663391,"Winnipeg",""
"Goalie ES Inner Slot Save%",0.7941834451901566,18,0.7945219389663835,0.8552971576227391,"Winnipeg",""
"Goalie ES No Rebound%",0.3591130340724716,21,0.3655889181003336,0.40437158469945356,"St. Louis",""
"Goalie SH Save%",0.8672086720867209,10,0.8608507701249637,0.8823529411764706,"Vancouver",""
"Goalie SH Inner Slot Save%",0.8301886792452831,1,0.7631578947368421,0.8301886792452831,"Montreal",""
"PP Controlled Entry Success%",0.6619433198380567,8,0.6381966615954917,0.7002053388090349,"Colorado",""
