Metric Label,Montreal,Montreal rank,League Median,League Leader Value,League Leader Team,Players
"PP% OZ Zone Time",0.642114314618108,20,0.6467165550592189,0.6905791405841119,"Vegas",""
"PP Passes to Slot",1.222631693041405,30,1.4244371059354473,2.0541262867853582,"Utah",""
"PP Shots On Net From Slot For",0.7595924561023196,31,0.9991375824767416,1.4023969839663188,"New Jersey",""
"PP Goals Scored",0.23932365055278565,20,0.26286253542155136,0.3632534620561254,"Winnipeg",""
"PP True Shooting % (Goals/Shot Attempts)",0.08394160583941605,15,0.07848619623583013,0.11190476190476191,"Chicago",""
"PP OZ Face-Offs Win%",0.515625,29,0.5641681494661921,0.6537102473498233,"Los Angeles",""
"PP% Face-Offs Won Resulting in Shot On Net",0.3393939393939394,11,0.3213654766286345,0.4019138755980861,"Carolina",""
"SH Shot Attempts From Slot Against",1.9713891345538053,30,1.7192992309174184,1.4347487217433534,"Florida",""
"SH Inner Slot Shots On Net Against",0.5059739667377805,19,0.5021054725631837,0.3796066852955132,"Edmonton",""
"SH Goals Against",0.2338936261335023,12,0.2602311869789522,0.19464498632647423,"Vancouver",""
"SH Passes to the Slot Against",1.5704286326106582,25,1.5171899924074874,1.249363479795146,"Colorado",""
"SH% of Opposition Shot Attempts Blocked",0.2809587217043941,5,0.239401458981105,0.29174664107485604,"Philadelphia",""
"SH DZ Entry Denial Success%",0.32169117647058826,29,0.3621569682096794,0.4272030651340996,"Carolina",""
"SH% DZ Zone Time",0.6781644655779302,30,0.6503128534705571,0.6001399638102194,"Carolina",""
"SH DZ Face-Offs Win%",0.40482573726541554,23,0.42879900354005507,0.5350877192982456,"Ottawa",""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.5827814569536424,26,0.6127016129032259,0.7166666666666667,"Detroit",""
"Shootout Goals",7,8,5.5,11,"Philadelphia",""
"Shootout Success %",0.2916666666666667,22,0.3333333333333333,0.7142857142857143,"Detroit",""
