Player,Position,Team,ES IND XGFP20,ES ACT2XPF,SOO,SOOdiff,SOT%,ES ISF (P20 WOI),ES ISAg (P20 WOI),ES ISF% (WOI),ES P2SAg (P20 WOI),ES XGFP20 (WOI),ES XGAP20 (WOI),ES OPREB (P20 WOI),ES OddMRAg (P20),ES OZSTART %,XGF %,ES CORSIFOR%
"Gustav Lindström","D","Anaheim",0.04325183135277124,0.01463060716361824,23.46248612519373,-2.6393398715520093,0.10584003175553494,1.8811792517826582,2.025885348073632,0.48148148148148145,4.167535573180043,0.7976940448875384,0.8558169350122798,2.575768513979332,0.6656480429384791,0.2504604051565378,0.48242440152158406,0.4405652535328346
"Jackson Lacombe","D","Anaheim",0.05953780679557045,-0.02503480740670483,24.71018077617676,-2.3498448230290405,0.11587682832184433,1.9494194654709076,2.3462039584428624,0.4538152610441767,4.588898918719128,0.77335912516983,0.9368642593750905,3.1397729443867717,0.9833354825826702,0.2958015267175573,0.45219772584013335,0.43617021276595747
"Jacob Trouba","D","Anaheim",0.09977175208573398,-0.06750960421083496,24.715126676163983,-1.4346527134173566,0.1209087353803632,1.887335650681594,2.33900572093018,0.44656488549618323,4.613487146110563,0.8607666310642226,0.9870303678431055,3.0487729741779592,0.9517333623095217,0.29663105998356615,0.4658339804498148,0.47277822257806246
"Olen Zellweger","D","Anaheim",0.0325770304787004,0.05656376369149171,23.709954530997017,-1.4685172844039456,0.11232023449597613,1.7382454863187458,1.8273862804889378,0.4875,4.457039708509605,0.7437953645953624,0.8987877843730521,2.807935016361051,0.7131263533615367,0.38636363636363635,0.4528205254403622,0.46041412911084045
"Pavel Mintyukov","D","Anaheim",0.12617002276417638,-0.04582568478589881,23.654130604000184,0.3602364100331485,0.1547279936538367,2.1692971254134945,2.550932730810313,0.4595744680851064,5.001435039147779,0.9700078021504726,0.9983705239393098,3.053084843174548,0.6628407883207901,0.3249138920780712,0.49279540893818335,0.4708377518557794
"Radko Gudas","D","Anaheim",0.047845953080396283,0.0630206640624262,24.86253997887372,-4.26808784093421,0.09969371127177377,1.884732491427982,1.940165799999393,0.4927536231884058,4.04663152571302,0.7275454474143483,0.8156339140828176,2.531454424761113,0.6836774723807386,0.25389755011135856,0.47145877243232237,0.47177221404025527
"Tristan Luneau","D","Anaheim",0.09712234492523031,0.06417108501092018,21.59202252717325,2.7752109942607794,0.11314606075178443,1.4516408694253544,3.22586859872301,0.3103448275862069,3.709748888531461,1.1386598275070616,1.2415317198203175,3.871042318467612,0.16129342993615048,0.4074074074074074,0.4783899971351535,0.5327102803738317
"Patrik Koch","D","Arizona",0.021736846488532933,-0.021736846488532933,17.46850447265407,3.9843746065785686,0.10015496505552912,0,2.1486123545210365,0,6.4458370635631095,0.7950747717892775,0.7690839251462505,2.1486123545210365,0,0.3333333333333333,0.5083082511684869,0.55
"Andrew Peeke","D","Boston",0.03617946598562769,-0.0005507598579256995,24.613098847817223,-3.8398753588887553,0.06438066055519887,1.7814353063850994,2.458380722811437,0.42016806722689076,4.881132739495172,0.7217549129396307,0.9428404281851891,2.921553902471563,0.6413167102986358,0.25477707006369427,0.4335918136427789,0.45042492917847027
"Charlie McAvoy","D","Boston",0.11605274068147202,0.011587717892876201,24.780725458930043,1.3016321579972125,0.13747500252520892,2.4677155324373996,2.325892800688124,0.514792899408284,4.098676947554072,0.9899400889155958,0.9091130757408684,2.9073660008601547,0.7091136587463792,0.4151880766501065,0.5212808716151315,0.47687224669603523
