Players,TOI(sec),TOI(min),OZst%,SOO,SOOΔ,SOT,XGA,XGF%,XGF
"#58 David Savard, #8 Mike Matheson, #40 Joel Armia, #71 Jake Evans",6282.866666666671,"104:43",0.02112676056338028,63.07394848139477,-55.53851421908746,7.535434262307255,2.906608227222769,0.11088692359667851,0.36250152311484357
"#58 David Savard, #8 Mike Matheson, #17 Josh Anderson, #28 Christian Dvorak",3231.0333333333333,"53:51",0.029411764705882353,66.16113704851595,-60.98290160403121,5.178235444484751,2.608379989031073,0.005276844586177956,0.013837031689573431
"#8 Mike Matheson, #40 Joel Armia, #71 Jake Evans, #45 Alexandre Carrier",940.6333333333345,"15:41",0.05555555555555555,55.15122261682752,-47.554968256160535,7.596254360666977,2.599573255191469,0.12510942997706212,0.3717392086327935
"#8 Mike Matheson, #17 Josh Anderson, #28 Christian Dvorak, #45 Alexandre Carrier",769.2000000000013,"12:49",0,65.8311709413764,-59.74919353680029,6.081977404576148,1.3676535362863014,0.0017040878843001047,0.0023345801508556805
"#58 David Savard, #40 Joel Armia, #71 Jake Evans, #21 Kaiden Guhle",718.8000000000042,"11:59",0,68.32360019544201,-63.051587811753166,5.2720123836888195,1.1712924634823152,0.281293873238902,0.4584313135513254
"#40 Joel Armia, #71 Jake Evans, #72 Arber Xhekaj, #21 Kaiden Guhle",623.900000000001,"10:24",0,55.17970879290288,-48.84404658162382,6.335662211279036,3.472856822581713,0,0
"#8 Mike Matheson, #40 Joel Armia, #71 Jake Evans, #21 Kaiden Guhle",594.1999999999986,"9:54",0,61.72261561378111,-54.403044401109774,7.31957121267134,1.8323682567079036,0.17295559036383454,0.3831938526037374
"#40 Joel Armia, #71 Jake Evans, #45 Alexandre Carrier, #21 Kaiden Guhle",590.9999999999991,"9:51",0.16666666666666666,61.53671572705124,-54.433375320056605,7.103340406994634,1.4552528180446742,0.5602389564336917,1.8539371143856354
"#58 David Savard, #8 Mike Matheson, #71 Jake Evans, #14 Nick Suzuki",557.2999999999993,"9:17",0,62.531725162948774,-56.490696667909,6.041028495039771,2.966076237908736,0,0
"#17 Josh Anderson, #28 Christian Dvorak, #45 Alexandre Carrier, #21 Kaiden Guhle",498.7666666666664,"8:19",0,60.72661003912066,-56.16583101885018,4.560779020270469,1.7929631771788301,0,0
"#17 Josh Anderson, #28 Christian Dvorak, #72 Arber Xhekaj, #21 Kaiden Guhle",454.80000000000007,"7:35",0,54.70600053230673,-46.50186823341654,8.2041322988902,2.0505668187518857,0.024519979187748942,0.05154370632523911
"#58 David Savard, #8 Mike Matheson, #28 Christian Dvorak, #14 Nick Suzuki",453.5333333333342,"7:34",0,66.17962926780503,-62.168734361309355,4.010894906495642,3.8423798753814586,0,0
"#8 Mike Matheson, #17 Josh Anderson, #28 Christian Dvorak, #21 Kaiden Guhle",451.7666666666663,"7:32",0,59.50333754244431,-52.07157474813531,7.431762794308988,1.828891300129503,0.3838595735462124,1.1394114140029474
"#58 David Savard, #8 Mike Matheson, #71 Jake Evans",344.166666666667,"5:44",0,145.0740941436191,-145.0740941436191,0,3.9129000050680944,0,0
