Player,Position,Team,ES IND XGFP20,ES ACT2XPF,SOO,SOOdiff,SOT%,ES OZ F/O Wins,ES OZ F/O Win %,ES DZ F/O Wins,ES DZ F/O Win %,ES ISF (P20 WOI),ES ISA (P20 WOI),ES ISF% (WOI),ES OZSTART %,ES XGFP20 (WOI),ES XGAP20 (WOI),XGF %,ES CORSIFOR%
"Alex Killorn","F","Anaheim",0.30336313708108514,-0.06761447135304763,25.824509461319884,-2.8383300564664027,0.1881123886311796,0,0,0,0,2.8289839887364505,2.357486657280375,0.5454545454545454,0.22093023255813954,0.8582682910429478,0.7945500324542711,0.5192756389746014,0.5274725274725275
"Chris Kreider","F","Anaheim",0.09123123637827085,0.1345151375705973,21.253219301494227,-1.725324029538632,0.2123618720231313,0,0,0,0,2.0317173655398135,2.0317173655398135,0.5,0.3979591836734694,0.8299576872216514,0.5964155316681236,0.5818657250643372,0.4258064516129032
"David Krejci","F","Boston",0.011800029872158169,-0.011800029872158169,20.59004589603281,-0.3990181190972993,0.15316265671476634,3,0.2,6,0.46153846153846156,1.9440019440019443,2.9160029160029164,0.4,0.4406779661016949,0.5857349480219293,0.8483154161628264,0.40844796155741303,0.42857142857142855
"David Pastrnak","F","Boston",0.4041092744931734,-0.022949171368189372,20.28315224459005,4.110474964874227,0.28575720211803074,0,0,0,0,1.524640412499936,2.286960618749904,0.4,0.47191011235955055,0.780058720051451,0.7353389646385841,0.5147551219936086,0.5230125523012552
"Jakub Lauko","F","Boston",0,0,24.890209899687026,-5.619390090905056,0.09348462606764549,0,0,0,0,3.0707989764003383,1.0235996588001128,0.75,0,0.8170592356319613,0.24599295630118925,0.7685974798153106,0.4074074074074074
"Mikey Eyssimont","F","Boston",0.14118453498552844,0.5320901985098906,15.95297018963432,8.901572914258718,0.3698096222716021,0,0,0,0,1.346549466990838,2.693098933981676,0.3333333333333333,0.5517241379310345,0.7880981974282834,0.6691351110731895,0.5408181331229067,0.6
"Morgan Geekie","F","Boston",0.17945893986900108,0.10868236462672365,21.454992336716668,0.4680197122776641,0.22943416172330502,12,0.5217391304347826,16,0.5925925925925926,1.4407065224786237,2.4492010882136603,0.37037037037037035,0.37012987012987014,0.7397352118276157,0.6911709534453095,0.516969756494495,0.506993006993007
"Patrice Bergeron","F","Boston",0.11023386600130407,-0.11023386600130407,19.59607226435369,13.629957602249203,0.37960113645148513,16,0.6956521739130435,9,0.6923076923076923,1.0656562666508784,2.131312533301757,0.3333333333333333,0.49056603773584906,0.4380445260434956,1.093390632966939,0.28603530712103165,0.5903614457831325
"Pavel Zacha","F","Boston",0.26372133440828727,-0.26372133440828727,19.342758094071076,7.8573178374449055,0.30154693633806406,17,0.5,8,0.47058823529411764,2.566524676065375,1.9248935070490314,0.5714285714285714,0.4166666666666667,1.303148971660514,0.7331284670446085,0.6399663164215933,0.6028708133971292
"Tanner Jeannot","F","Boston",0.23282541273796428,-0.23282541273796428,16.69556200622249,-0.7379014828653057,0.20672533610261232,0,0,0,0,2.377139838552584,3.565709757828876,0.4,0.391304347826087,0.5628796547421534,1.2404305025097146,0.31213690694225715,0.5294117647058824
