PLAYER CONTRACT SUMMARY
Player Name,Cole#23 Reinhardt
NHL Player ID,8481133
Official Name,Cole Reinhardt
Current Team,VGK
Position,L
Number,#23
Export Date,2025-10-16 16:52:07

DATA SUMMARY
Total Contracts,3
Total Contract Details,6

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,VGK,2025-07-01,2,1625000,,"UFACap Percent : 0.9%Signing Team: Vegas Golden KnightsSigning Date: Jul. 01, 2025"
Standard Contract (Extension),OTT,2024-06-14,1,775000,,"UFA (Group 6)Cap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jun. 14, 2024"
Entry-Level Contract,OTT,2021-04-16,3,2440000,,"RFA (Arb)Cap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Apr. 16, 2021"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$812,500",0.9%,"$812,500",$0,$0,"$775,000","$775,000",-
2026-27,-,"$812,500",0.8%,"$812,500",$0,$0,"$850,000","$850,000",-
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$95,000"
2021-22,-,"$813,333",1.0%,"$813,333",$0,"$55,000","$750,000","$805,000","$65,000"
2022-23,-,"$813,333",1.0%,"$813,333",$0,"$55,000","$750,000","$805,000","$65,000"
2023-24,-,"$813,333",1.0%,"$813,333",$0,"$55,000","$775,000","$830,000","$70,000"

