PLAYER CONTRACT SUMMARY
Player Name,Marko#56 Dano
NHL Player ID,8477448
Official Name,Marko Dano
Current Team,CHI
Position,R
Number,#56
Export Date,2025-10-17 15:17:34

DATA SUMMARY
Total Contracts,5
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,WPG,2020-11-05,1,700000,,"UFA (No QO)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Nov. 5, 2020"
Standard Contract,CBJ,2019-08-08,1,800000,,"UFA (No QO)Cap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Aug. 8, 2019"
Standard Contract,WPG,2018-07-24,1,800000,,"UFA (No QO)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jul. 24, 2018"
Standard Contract (Extension),WPG,2017-06-13,1,850000,,"RFA (Arb)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jun. 13, 2017"
Entry-Level Contract,CBJ,2014-03-06,3,2775000,,"RFACap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Mar. 6, 2014"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2020-21,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$150,000"
2019-20,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000","$300,000"
2018-19,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000",-
2017-18,-,"$850,000",1.1%,"$850,000",$0,$0,"$850,000","$850,000",-
2014-15,-,"$925,000",1.3%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"
2015-16,-,"$925,000",1.3%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"
2016-17,-,"$925,000",1.3%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"

