PLAYER CONTRACT SUMMARY
Player Name,Raphael#36 Lavoie
NHL Player ID,8481534
Official Name,Raphael Lavoie
Current Team,EDM
Position,C
Number,#62
Export Date,2025-10-18 14:50:07

DATA SUMMARY
Total Contracts,4
Total Contract Details,6

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,VGK,2025-07-06,1,775000,,"UFA (Group 6)Cap Percent : 0.8%Signing Team: Vegas Golden KnightsSigning Date: Jul. 06, 2025"
Two-Way Contract,EDM,2024-07-08,1,775000,,"RFA (Arb)Cap Percent : -%Signing Team: Edmonton OilersSigning Date: Jul. 8, 2024"
Standard Contract,EDM,2023-07-14,1,874125,,"RFA (Arb)Cap Percent : -%Signing Team: Edmonton OilersSigning Date: Jul. 14, 2023"
Entry-Level Contract,EDM,2020-03-21,3,2775000,,"RFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Mar. 21, 2020"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$235,000"
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$200,000"
2023-24,-,"$874,125",1.0%,"$874,125",$0,$0,"$874,125","$874,125","$70,000"
2020-21,-,"$870,000",1.1%,"$925,000","$132,500","$92,500","$700,000","$792,500","$70,000"
2021-22,-,"$870,000",1.1%,"$925,000","$32,500","$92,500","$800,000","$892,500","$70,000"
2022-23,-,"$870,000",1.1%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"

