PLAYER CONTRACT SUMMARY
Player Name,Arsenii#40 Sergeev
Export Date,2025-10-18 14:24:22

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,CGY,2025-04-14,2,1732500,,"RFACap Percent : 0.9%Signing Team: Calgary FlamesSigning Date: Apr. 14, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$866,250",0.9%,"$866,250",$0,"$90,000","$775,000","$865,000","$80,000"
2026-27,-,"$866,250",0.8%,"$866,250",$0,"$92,500","$775,000","$867,500","$80,000"

