PLAYER CONTRACT SUMMARY
Player Name,Philipp#96 Kurashev
NHL Player ID,8480798
Official Name,Philipp Kurashev
Current Team,SJS
Position,C
Number,#96
Export Date,2025-10-16 16:45:09

DATA SUMMARY
Total Contracts,4
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,SJS,2025-07-01,1,1200000,,"RFA (Arb)Cap Percent : 1.3%Signing Team: San Jose SharksSigning Date: Jul. 1, 2025"
Standard Contract,CHI,2023-07-23,2,4500000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Jul. 23, 2023"
Standard Contract,CHI,2022-08-12,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Aug. 12, 2022"
Entry-Level Contract,CHI,2019-03-12,3,2775000,,"RFACap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Mar. 12, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$1,200,000",1.3%,"$1,200,000",$0,$0,"$1,200,000","$1,200,000",-
2023-24,-,"$2,250,000",2.7%,"$2,250,000",$0,$0,"$2,250,000","$2,250,000",-
2024-25,-,"$2,250,000",2.6%,"$2,250,000",$0,$0,"$2,250,000","$2,250,000",-
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2019-20,-,"$842,500",1.0%,"$925,000","$132,500","$92,500","$700,000","$792,500","$70,000"
2020-21,-,"$842,500",1.0%,"$925,000","$82,500","$92,500","$750,000","$842,500","$70,000"
2021-22,-,"$842,500",1.0%,"$925,000","$32,500","$92,500","$800,000","$892,500","$70,000"

