PLAYER CONTRACT SUMMARY
Player Name,Avery#85 Hayes
NHL Player ID,8475763
Official Name,Kevin Hayes
Current Team,PIT
Position,C
Number,#13
Export Date,2025-10-18 14:40:22

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,PIT,2025-03-13,2,1660000,,"RFACap Percent : 0.9%Signing Team: Pittsburgh PenguinsSigning Date: Mar. 13, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$830,000",0.9%,"$830,000",$0,"$55,000","$775,000","$830,000","$85,000"
2026-27,-,"$830,000",0.8%,"$830,000",$0,"$55,000","$775,000","$830,000","$85,000"

