PLAYER CONTRACT SUMMARY
Player Name,Trent#50 Miner
NHL Player ID,8481529
Official Name,Trent Miner
Current Team,COL
Position,G
Number,#50
Export Date,2025-10-16 16:29:18

DATA SUMMARY
Total Contracts,3
Total Contract Details,6

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract (Extension),COL,2025-06-30,2,1550000,,"RFA (Arb)Cap Percent : 0.8%Signing Team: Colorado AvalancheSigning Date: Jun. 30, 2025"
Standard Contract (Extension),COL,2024-05-21,1,775000,,"RFA (Arb)Cap Percent : -%Signing Team: Colorado AvalancheSigning Date: May 21, 2024"
Entry-Level Contract,COL,2021-05-27,3,2485000,,"RFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: May 27, 2021"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$200,000"
2026-27,-,"$775,000",0.7%,"$775,000",$0,$0,"$775,000","$775,000","$350,000"
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$100,000"
2021-22,-,"$828,333",1.0%,"$828,333",$0,"$70,000","$750,000","$820,000","$70,000"
2022-23,-,"$828,333",1.0%,"$828,333",$0,"$70,000","$750,000","$820,000","$70,000"
2023-24,-,"$828,333",1.0%,"$828,333",$0,"$70,000","$775,000","$845,000","$70,000"

