PLAYER CONTRACT SUMMARY
Player Name,Kirill#80 Gerasimyuk
Export Date,2025-10-18 14:30:17

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,FLA,2025-07-01,2,1750000,,"RFACap Percent : 0.9%Signing Team: Florida PanthersSigning Date: Jul. 01, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$875,000",0.9%,"$875,000",$0,"$87,500","$775,000","$862,500","$80,000"
2026-27,-,"$875,000",0.8%,"$875,000",$0,"$87,500","$800,000","$887,500","$80,000"

