PLAYER CONTRACT SUMMARY
Player Name,Tyler#64 Randell
NHL Player ID,8475292
Official Name,Tyler Randell
Current Team,BOS
Position,R
Number,#64
Export Date,2025-10-17 15:47:03

DATA SUMMARY
Total Contracts,5
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,OTT,2017-07-01,1,700000,,"UFACap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jul. 1, 2017"
Standard Contract,BOS,2016-07-01,1,600000,,"UFA (Group 6)Cap Percent : -%Signing Team: Boston BruinsSigning Date: Jul. 1, 2016"
Standard Contract (Extension),BOS,2015-06-18,1,600000,,"UFA (Group 6)Cap Percent : -%Signing Team: Boston BruinsSigning Date: Jun. 18, 2015"
Standard Contract,BOS,2014-07-18,1,575000,,"RFA (Arb)Cap Percent : -%Signing Team: Boston BruinsSigning Date: Jul. 18, 2014"
Entry-Level Contract,BOS,2011-04-16,3,1810000,,"RFACap Percent : -%Signing Team: Boston BruinsSigning Date: Apr. 16, 2011"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2017-18,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$200,000"
2016-17,-,"$600,000",0.8%,"$600,000",$0,$0,"$600,000","$600,000","$225,000"
2015-16,-,"$600,000",0.8%,"$600,000",$0,$0,"$600,000","$600,000","$100,000"
2014-15,-,"$575,000",0.8%,"$575,000",$0,$0,"$575,000","$575,000","$70,000"
2011-12,-,"$600,000",0.9%,"$603,333",$0,"$50,000","$525,000","$575,000","$50,000"
2012-13,-,"$600,000",1.0%,"$603,333",$0,"$50,000","$550,000","$600,000","$55,000"
2013-14,-,"$600,000",0.9%,"$603,333","$10,000","$50,000","$575,000","$625,000","$55,000"

