PLAYER CONTRACT SUMMARY
Player Name,Logan#23 Mailloux
NHL Player ID,8482733
Official Name,Logan Mailloux
Current Team,STL
Position,D
Number,#23
Export Date,2025-10-16 16:46:44

DATA SUMMARY
Total Contracts,1
Total Contract Details,4

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,MTL,2022-10-05,3,2800000,,"RFACap Percent : 0.9%Signing Team: Montreal CanadiensSigning Date: Oct. 5, 2022"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2022-23,-,"$897,500",1.1%,"$925,000",$0,"$92,500",-,-,-
2023-24,-,"$875,000",1.0%,"$902,500","$82,500","$92,500","$775,000","$867,500","$80,000"
2024-25,-,"$875,000",1.0%,"$902,500",$0,"$92,500","$832,500","$925,000","$80,000"
2025-26,-,"$875,000",0.9%,"$902,500",$0,$0,"$832,500","$832,500","$80,000"

