PLAYER CONTRACT SUMMARY
Player Name,Damien#73 Carfagna
Export Date,2025-10-18 14:28:56

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,EDM,2025-04-01,2,1725000,,"RFACap Percent : 0.9%Signing Team: Edmonton OilersSigning Date: Apr. 01, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$862,500",0.9%,"$862,500",$0,"$87,500","$775,000","$862,500","$85,000"
2026-27,-,"$862,500",0.8%,"$862,500",$0,"$87,500","$775,000","$862,500","$85,000"

