PLAYER CONTRACT SUMMARY
Player Name,Nikolai#74 Prokhorkin
NHL Player ID,8476947
Official Name,Nikolai Prokhorkin
Current Team,LAK
Position,L
Number,#74
Export Date,2025-10-17 15:09:23

DATA SUMMARY
Total Contracts,2
Total Contract Details,4

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,LAK,2019-05-13,1,1775000,,"UFA (No QO)Cap Percent : -%Signing Team: Los Angeles KingsSigning Date: May 13, 2019"
Entry-Level Contract,LAK,2012-09-05,3,2625000,,"RFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Sep. 5, 2012"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2019-20,-,"$925,000",1.1%,"$1,775,000","$850,000","$92,500","$832,500","$925,000","$70,000"
2012-13,-,"$662,500",1.1%,"$875,000","$212,500","$87,500","$575,000","$662,500","$65,000"
2013-14,-,"$662,500",1.0%,"$875,000","$212,500","$87,500","$575,000","$662,500","$65,000"
2014-15,-,"$662,500",1.0%,"$875,000","$212,500","$87,500","$575,000","$662,500","$65,000"

