PLAYER CONTRACT SUMMARY
Player Name,Jared#49 Davidson
Export Date,2025-10-18 14:32:54

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,MTL,2024-05-31,2,1760000,,"RFACap Percent : 0.9%Signing Team: Montreal CanadiensSigning Date: May 31, 2024"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$862,500",1.0%,"$880,000",$0,"$85,000","$775,000","$860,000","$82,500"
2025-26,-,"$862,500",0.9%,"$880,000","$35,000","$90,000","$775,000","$865,000","$82,500"

