PLAYER CONTRACT SUMMARY
Player Name,Stanislav#31 Berezhnoy
Export Date,2025-10-18 14:24:37

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,CHI,2025-07-17,2,1950000,,"RFACap Percent : 1.0%Signing Team: Chicago BlackhawksSigning Date: Jul. 17, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$975,000",1.0%,"$975,000",$0,"$97,500","$877,500","$975,000","$85,000"
2026-27,-,"$975,000",0.9%,"$975,000",$0,"$97,500","$877,500","$975,000","$85,000"

