PLAYER CONTRACT SUMMARY
Player Name,Jonas#46 Rondbjerg
NHL Player ID,8480007
Official Name,Jonas Rondbjerg
Current Team,VGK
Position,R
Number,#46
Export Date,2025-10-18 14:50:16

DATA SUMMARY
Total Contracts,3
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,VGK,2025-07-06,1,775000,,"UFACap Percent : 0.8%Signing Team: Vegas Golden KnightsSigning Date: Jul. 06, 2025"
Standard Contract,VGK,2022-07-13,3,2300000,,"UFA (Group 6)Cap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: Jul. 13, 2022"
Entry-Level Contract,VGK,2019-05-30,3,2700000,,"10.2(c)Cap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: May 30, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$250,000"
2022-23,-,"$766,667",0.9%,"$766,667",$0,$0,"$750,000","$750,000","$125,000"
2023-24,-,"$766,667",0.9%,"$766,667",$0,$0,"$775,000","$775,000","$775,000"
2024-25,-,"$766,667",0.9%,"$766,667",$0,$0,"$775,000","$775,000","$775,000"
2019-20,-,"$806,667",1.0%,"$900,000","$110,000","$90,000","$700,000","$790,000","$70,000"
2020-21,-,"$806,667",1.0%,"$900,000","$110,000","$90,000","$700,000","$790,000","$70,000"
2021-22,-,"$806,667",1.0%,"$900,000","$60,000","$90,000","$750,000","$840,000","$70,000"

