PLAYER CONTRACT SUMMARY
Player Name,Carson#49 Meyer
NHL Player ID,8480292
Official Name,Carson Meyer
Current Team,CBJ
Position,R
Number,#72
Export Date,2025-10-17 12:52:20

DATA SUMMARY
Total Contracts,5
Total Contract Details,6

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,BUF,2025-07-02,2,1550000,,"UFACap Percent : 0.8%Signing Team: Buffalo SabresSigning Date: Jul. 02, 2025"
Two-Way Contract,ANA,2024-07-03,1,775000,,"UFACap Percent : -%Signing Team: Anaheim DucksSigning Date: Jul. 3, 2024"
Standard Contract (Extension),CBJ,2023-06-23,1,775000,,"UFA (Group 6)Cap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Jun. 23, 2023"
Standard Contract (Extension),CBJ,2022-07-02,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Jul. 2, 2022"
Entry-Level Contract,CBJ,2021-04-17,1,820000,,"RFA (Arb)Cap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Apr. 17, 2021"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$350,000"
2026-27,-,"$775,000",0.7%,"$775,000",$0,$0,"$775,000","$775,000","$375,000"
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$325,000"
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$190,000"
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$125,000"
2021-22,-,"$820,000",1.0%,"$820,000",$0,"$70,000","$750,000","$820,000","$70,000"

