PLAYER CONTRACT SUMMARY
Player Name,Nikita#59 Alexandrov
NHL Player ID,8481543
Official Name,Nikita Alexandrov
Current Team,STL
Position,C
Number,#59
Export Date,2025-10-18 14:43:33

DATA SUMMARY
Total Contracts,3
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,STL,2025-07-26,1,775000,,"UFA (Group 6)Cap Percent : 0.8%Signing Team: St. Louis BluesSigning Date: Jul. 26, 2025"
Two-Way Contract,STL,2024-09-30,1,775000,,"RFA (Arb)Cap Percent : -%Signing Team: St. Louis BluesSigning Date: Sep. 30, 2024"
Entry-Level Contract,STL,2019-08-01,3,2825000,,"RFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Aug. 1, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$300,000"
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$150,000"
2019-20,-,"$861,667",1.1%,"$925,000",$0,"$92,500",-,-,-
2020-21,-,"$830,833",1.0%,"$894,167",$0,"$92,500",-,-,-
2021-22,-,"$816,667",1.0%,"$880,000","$132,500","$92,500","$750,000","$842,500","$70,000"
2022-23,-,"$816,667",1.0%,"$880,000","$57,500",$0,"$775,000","$775,000","$70,000"
2023-24,-,"$816,667",1.0%,"$880,000",$0,$0,"$832,500","$832,500","$70,000"

