PLAYER CONTRACT SUMMARY
Player Name,Guillaume#84 Richard
Export Date,2025-10-18 14:22:57

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,CBJ,2025-03-31,2,1735000,,"RFACap Percent : 0.9%Signing Team: Columbus Blue JacketsSigning Date: Mar. 31, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$867,500",0.9%,"$867,500",$0,"$92,500","$775,000","$867,500","$80,000"
2026-27,-,"$867,500",0.8%,"$867,500",$0,"$92,500","$775,000","$867,500","$80,000"

