PLAYER CONTRACT SUMMARY
Player Name,Colten#92 Ellis
NHL Player ID,8481551
Official Name,Colten Ellis
Current Team,BUF
Position,G
Number,#92
Export Date,2025-10-16 16:24:32

DATA SUMMARY
Total Contracts,3
Total Contract Details,6

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract (Extension),STL,2025-03-06,2,1550000,,"RFA (Arb)Cap Percent : 0.8%Signing Team: St. Louis BluesSigning Date: Mar. 06, 2025"
Standard Contract (Extension),STL,2024-06-11,1,775000,,"RFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Jun. 11, 2024"
Entry-Level Contract,STL,2021-03-01,3,2775000,,"RFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Mar. 1, 2021"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$175,000"
2026-27,-,"$775,000",0.7%,"$775,000",$0,$0,"$775,000","$775,000","$225,000"
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$85,000"
2021-22,-,"$850,833",1.0%,"$925,000","$82,500","$92,500","$750,000","$842,500","$70,000"
2022-23,-,"$850,833",1.0%,"$925,000","$82,500","$92,500","$750,000","$842,500","$70,000"
2023-24,-,"$850,833",1.0%,"$925,000","$57,500","$92,500","$775,000","$867,500","$70,000"

