PLAYER CONTRACT SUMMARY
Player Name,Dylan#59 Wendt
Export Date,2025-10-18 14:34:29

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,NJD,2024-04-04,2,1900000,,"RFACap Percent : 0.9%Signing Team: New Jersey DevilsSigning Date: Apr. 4, 2024"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$870,000",1.0%,"$950,000","$80,000","$95,000","$775,000","$870,000","$82,500"
2025-26,-,"$870,000",0.9%,"$950,000","$80,000","$95,000","$775,000","$870,000","$82,500"

