PLAYER CONTRACT SUMMARY
Player Name,Taige#47 Harding
Export Date,2025-10-18 14:24:52

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,CHI,2025-04-01,2,1760000,,"RFACap Percent : 0.9%Signing Team: Chicago BlackhawksSigning Date: Apr. 01, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$880,000",0.9%,"$880,000",$0,"$92,500","$775,000","$867,500","$80,000"
2026-27,-,"$880,000",0.8%,"$880,000",$0,"$92,500","$800,000","$892,500","$80,000"

