PLAYER CONTRACT SUMMARY
Player Name,Pontus#46 Aberg
NHL Player ID,8476857
Official Name,Pontus Aberg
Current Team,NSH
Position,L
Number,#46
Export Date,2025-10-17 15:16:05

DATA SUMMARY
Total Contracts,4
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,OTT,2021-07-29,1,750000,,"UFACap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jul. 29, 2021"
Standard Contract,TOR,2019-07-24,1,700000,,"RFA (Arb)Cap Percent : -%Signing Team: Toronto Maple LeafsSigning Date: Jul. 24, 2019"
Standard Contract,NSH,2017-07-18,2,1300000,,"UFA (No QO)Cap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jul. 18, 2017"
Entry-Level Contract,NSH,2014-05-26,3,2775000,,"RFACap Percent : -%Signing Team: Nashville PredatorsSigning Date: May 26, 2014"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$150,000"
2019-20,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000",-
2017-18,-,"$650,000",0.9%,"$650,000",$0,$0,"$650,000","$650,000",-
2018-19,-,"$650,000",0.8%,"$650,000",$0,$0,"$650,000","$650,000",-
2014-15,-,"$780,833",1.1%,"$925,000","$232,500","$92,500","$600,000","$692,500","$70,000"
2015-16,-,"$780,833",1.1%,"$925,000","$117,500","$92,500","$715,000","$807,500","$70,000"
2016-17,-,"$780,833",1.1%,"$925,000","$82,500","$92,500","$750,000","$842,500","$70,000"

