PLAYER CONTRACT SUMMARY
Player Name,Tobias#22 Bjornfot
NHL Player ID,8481600
Official Name,Tobias Bjornfot
Current Team,FLA
Position,D
Number,#22
Export Date,2025-10-16 16:33:08

DATA SUMMARY
Total Contracts,3
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,FLA,2025-07-17,1,775000,,"RFA (Arb)Cap Percent : 0.8%Signing Team: Florida PanthersSigning Date: Jul. 17, 2025"
Standard Contract,LAK,2023-07-07,2,1550000,,"RFA (Arb)Cap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 7, 2023"
Entry-Level Contract,LAK,2019-07-14,3,3250000,,"RFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 14, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$450,000"
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000",-
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000",-
2019-20,-,"$925,000",1.1%,"$1,083,333",$0,"$92,500",-,-,-
2020-21,-,"$894,167",1.1%,"$1,052,500",$0,"$92,500","$832,500","$925,000","$70,000"
2021-22,-,"$894,167",1.1%,"$1,052,500","$212,500","$92,500","$832,500","$925,000","$70,000"
2022-23,-,"$894,167",1.1%,"$1,052,500","$262,500",$0,"$832,500","$832,500","$70,000"

