PLAYER CONTRACT SUMMARY
Player Name,Aku# Koskenvuo
Export Date,2025-10-18 14:48:42

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,VAN,2025-03-18,2,1700000,,"RFACap Percent : 0.9%Signing Team: Vancouver CanucksSigning Date: Mar. 18, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$850,000",0.9%,"$850,000",$0,"$75,000","$775,000","$850,000","$80,000"
2026-27,-,"$850,000",0.8%,"$850,000",$0,"$75,000","$775,000","$850,000","$80,000"

