PLAYER CONTRACT SUMMARY
Player Name,Shakir#85 Mukhamadullin
NHL Player ID,8482166
Official Name,Shakir Mukhamadullin
Current Team,SJS
Position,D
Number,#85
Export Date,2025-10-16 16:45:43

DATA SUMMARY
Total Contracts,2
Total Contract Details,5

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),SJS,2025-05-29,1,1000000,,"RFACap Percent : 1.0%Signing Team: San Jose SharksSigning Date: May. 29, 2025"
Entry-Level Contract,NJD,2021-12-01,3,3975000,,"RFACap Percent : -%Signing Team: New Jersey DevilsSigning Date: Dec. 1, 2021"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$1,000,000",1.0%,"$1,000,000",$0,$0,"$1,000,000","$1,000,000",-
2021-22,-,"$925,000",1.1%,"$1,325,000",$0,"$92,500",-,-,-
2022-23,-,"$894,167",1.1%,"$1,294,167","$400,000","$92,500","$832,500","$925,000","$80,000"
2023-24,-,"$894,167",1.1%,"$1,294,167","$400,000","$92,500","$832,500","$925,000","$80,000"
2024-25,-,"$894,167",1.0%,"$1,294,167","$400,000",$0,"$832,500","$832,500","$80,000"

