PLAYER CONTRACT SUMMARY
Player Name,Emerson#26 Etem
NHL Player ID,8475770
Official Name,Emerson Etem
Current Team,NYR
Position,R
Number,#26
Export Date,2025-10-17 15:54:23

DATA SUMMARY
Total Contracts,4
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,ARI,2017-07-06,1,850000,,"RFA (Arb)Cap Percent : -%Signing Team: Arizona CoyotesSigning Date: Jul. 6, 2017"
Standard Contract (Extension),VAN,2016-06-27,1,775000,,"UFA (No QO)Cap Percent : -%Signing Team: Vancouver CanucksSigning Date: Jun. 27, 2016"
Standard Contract,NYR,2015-07-14,1,850500,,"RFA (Arb)Cap Percent : -%Signing Team: New York RangersSigning Date: Jul. 14, 2015"
Entry-Level Contract,ANA,2011-05-19,3,2700000,,"RFACap Percent : -%Signing Team: Anaheim DucksSigning Date: May 19, 2011"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2017-18,-,"$850,000",1.1%,"$850,000",$0,$0,"$850,000","$850,000","$200,000"
2016-17,-,"$775,000",1.1%,"$775,000",$0,$0,"$775,000","$775,000",-
2015-16,-,"$850,500",1.2%,"$850,500",$0,$0,"$850,500","$850,500",-
2011-12,-,"$900,000",1.4%,"$900,000",$0,"$90,000",-,-,-
2012-13,-,"$870,000",1.5%,"$870,000",$0,"$90,000","$810,000","$900,000","$67,500"
2013-14,-,"$870,000",1.4%,"$870,000",$0,"$90,000","$810,000","$900,000","$67,500"
2014-15,-,"$870,000",1.3%,"$870,000",$0,$0,"$810,000","$810,000","$67,500"

