PLAYER CONTRACT SUMMARY
Player Name,Ty#49 Emberson
NHL Player ID,8480834
Official Name,Ty Emberson
Current Team,EDM
Position,D
Number,#49
Export Date,2025-10-16 16:32:05

DATA SUMMARY
Total Contracts,4
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),EDM,2025-04-19,2,2600000,,"UFACap Percent : 1.4%Signing Team: Edmonton OilersSigning Date: Apr. 19, 2025"
Standard Contract,SJS,2024-07-11,1,950000,,"RFA (Arb)Cap Percent : -%Signing Team: San Jose SharksSigning Date: Jul. 11, 2024"
Standard Contract,NYR,2023-07-13,1,775000,,"RFA (Arb)Cap Percent : -%Signing Team: New York RangersSigning Date: Jul. 13, 2023"
Entry-Level Contract,ARI,2021-04-07,3,2775000,,"10.2(c)Cap Percent : -%Signing Team: Arizona CoyotesSigning Date: Apr. 7, 2021"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$1,300,000",1.4%,"$1,300,000",$0,$0,"$1,300,000","$1,300,000",-
2026-27,-,"$1,300,000",1.3%,"$1,300,000",$0,$0,"$1,300,000","$1,300,000",-
2024-25,-,"$950,000",1.1%,"$950,000",$0,$0,"$950,000","$950,000",-
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$85,000"
2020-21,-,"$853,333",1.0%,"$925,000","$132,500","$92,500","$700,000","$792,500","$70,000"
2021-22,-,"$853,333",1.0%,"$925,000","$82,500","$92,500","$750,000","$842,500","$70,000"
2022-23,-,"$853,333",1.0%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"

