PLAYER CONTRACT SUMMARY
Player Name,Pavel#98 Mintyukov
NHL Player ID,8483490
Official Name,Pavel Mintyukov
Current Team,ANA
Position,D
Number,#98
Export Date,2025-10-16 16:22:30

DATA SUMMARY
Total Contracts,1
Total Contract Details,4

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,ANA,2022-07-16,3,5200000,,"RFACap Percent : 1.0%Signing Team: Anaheim DucksSigning Date: Jul. 16, 2022"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2022-23,-,"$950,000",1.2%,"$1,733,333",$0,"$95,000",-,-,-
2023-24,-,"$918,333",1.1%,"$1,701,667","$550,000","$95,000","$855,000","$950,000","$82,500"
2024-25,-,"$918,333",1.0%,"$1,701,667","$800,000","$95,000","$855,000","$950,000","$82,500"
2025-26,-,"$918,333",1.0%,"$1,701,667","$1,000,000",$0,"$855,000","$855,000","$82,500"

