PLAYER CONTRACT SUMMARY
Player Name,Viljami#57 Marjala
Export Date,2025-10-18 14:29:31

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,EDM,2025-06-07,2,1745000,,"RFACap Percent : 0.9%Signing Team: Edmonton OilersSigning Date: Jun. 07, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$872,500",0.9%,"$872,500",$0,"$97,500","$775,000","$872,500","$85,000"
2026-27,-,"$872,500",0.8%,"$872,500",$0,"$97,500","$775,000","$872,500","$85,000"

