PLAYER CONTRACT SUMMARY
Player Name,Luke#88 Tuch
Export Date,2025-10-18 14:33:26

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,MTL,2024-04-16,2,1850000,,"RFACap Percent : 1.0%Signing Team: Montreal CanadiensSigning Date: Apr. 16, 2024"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$912,500",1.0%,"$925,000","$25,000","$92,500","$807,500","$900,000","$80,000"
2025-26,-,"$912,500",1.0%,"$925,000",$0,"$92,500","$832,500","$925,000","$80,000"

