PLAYER CONTRACT SUMMARY
Player Name,Nikita#89 Nesterov
NHL Player ID,8476300
Official Name,Nikita Nesterov
Current Team,TBL
Position,D
Number,#89
Export Date,2025-10-17 15:00:44

DATA SUMMARY
Total Contracts,3
Total Contract Details,5

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,CGY,2020-10-23,1,700000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Oct. 23, 2020"
Standard Contract,TBL,2016-09-26,1,725000,,"UFA (No QO)Cap Percent : -%Signing Team: Tampa Bay LightningSigning Date: Sep. 26, 2016"
Entry-Level Contract,TBL,2013-04-30,3,2775000,,"RFACap Percent : -%Signing Team: Tampa Bay LightningSigning Date: Apr. 30, 2013"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2020-21,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000",-
2016-17,-,"$725,000",1.0%,"$725,000",$0,$0,"$725,000","$725,000",-
2013-14,-,"$742,500",1.2%,"$925,000","$232,500","$92,500","$600,000","$692,500","$70,000"
2014-15,-,"$742,500",1.1%,"$925,000","$182,500","$92,500","$650,000","$742,500","$70,000"
2015-16,-,"$742,500",1.0%,"$925,000","$132,500","$92,500","$700,000","$792,500","$70,000"

