PLAYER CONTRACT SUMMARY
Player Name,Nicholas# Caamano
NHL Player ID,8479381
Official Name,Nick Caamano
Current Team,DAL
Position,R
Number,#17
Export Date,2025-10-17 15:00:53

DATA SUMMARY
Total Contracts,4
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,DAL,2023-07-03,1,775000,,"UFA (Group 6)Cap Percent : -%Signing Team: Dallas StarsSigning Date: Jul. 3, 2023"
Standard Contract (Extension),DAL,2022-06-14,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Dallas StarsSigning Date: Jun. 14, 2022"
Standard Contract,DAL,2021-07-30,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Dallas StarsSigning Date: Jul. 30, 2021"
Entry-Level Contract,DAL,2017-04-06,3,2285000,,"RFACap Percent : -%Signing Team: Dallas StarsSigning Date: Apr. 6, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$137,500"
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$105,000"
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$100,000"
2017-18,-,"$745,000",1.0%,"$745,000",$0,"$70,000",-,-,-
2018-19,-,"$738,333",0.9%,"$738,333",$0,"$70,000","$650,000","$720,000","$70,000"
2019-20,-,"$738,333",0.9%,"$738,333",$0,"$70,000","$700,000","$770,000","$70,000"
2020-21,-,"$738,333",0.9%,"$738,333",$0,$0,"$725,000","$725,000","$70,000"

