PLAYER CONTRACT SUMMARY
Player Name,Devin#1 Cooley
NHL Player ID,8482445
Official Name,Devin Cooley
Current Team,CGY
Position,G
Number,#1
Export Date,2025-10-16 16:27:24

DATA SUMMARY
Total Contracts,4
Total Contract Details,6

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,CGY,2024-07-01,2,1550000,,"UFACap Percent : 0.8%Signing Team: Calgary FlamesSigning Date: Jul. 1, 2024"
Standard Contract,BUF,2023-07-01,1,775000,,"UFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 1, 2023"
Standard Contract (Extension),NSH,2022-07-12,1,787500,,"UFA (Group 6)Cap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jul. 12, 2022"
Entry-Level Contract,NSH,2020-09-29,2,1570000,,"RFA (Arb)Cap Percent : -%Signing Team: Nashville PredatorsSigning Date: Sep. 29, 2020"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$400,000"
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$775,000"
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$400,000"
2022-23,-,"$787,500",1.0%,"$787,500",$0,$0,"$787,500","$787,500","$70,000"
2020-21,-,"$785,000",1.0%,"$785,000",$0,"$60,000","$700,000","$760,000","$70,000"
2021-22,-,"$785,000",1.0%,"$785,000",$0,"$60,000","$750,000","$810,000","$70,000"

