PLAYER CONTRACT SUMMARY
Player Name,Ivan#50 Prosvetov
NHL Player ID,8481031
Official Name,Ivan Prosvetov
Current Team,UTA
Position,G
Number,#50
Export Date,2025-10-18 14:24:14

DATA SUMMARY
Total Contracts,4
Total Contract Details,6

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,CGY,2025-07-01,1,950000,,"UFACap Percent : 1.0%Signing Team: Calgary FlamesSigning Date: Jul. 01, 2025"
Standard Contract,ARI,2023-07-16,1,775000,,"UFA (Group 6)Cap Percent : -%Signing Team: Arizona CoyotesSigning Date: Jul. 16, 2023"
Standard Contract (Extension),ARI,2022-05-24,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Arizona CoyotesSigning Date: May 24, 2022"
Entry-Level Contract,ARI,2019-07-01,3,2775000,,"RFACap Percent : -%Signing Team: Arizona CoyotesSigning Date: Jul. 1, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$950,000",1.0%,"$950,000",$0,$0,"$950,000","$950,000",-
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$225,000"
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$100,000"
2019-20,-,"$809,167",1.0%,"$925,000","$132,500","$92,500","$700,000","$792,500","$70,000"
2020-21,-,"$809,167",1.0%,"$925,000","$132,500","$92,500","$700,000","$792,500","$70,000"
2021-22,-,"$809,167",1.0%,"$925,000","$82,500","$92,500","$750,000","$842,500","$70,000"

