PLAYER CONTRACT SUMMARY
Player Name,Cayden#30 Primeau
NHL Player ID,8480051
Official Name,Cayden Primeau
Current Team,TOR
Position,G
Number,#30
Export Date,2025-10-16 16:49:01

DATA SUMMARY
Total Contracts,3
Total Contract Details,7

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),CAR,2025-07-01,1,775000,,"RFA (Arb)Cap Percent : 0.8%Signing Team: Carolina HurricanesSigning Date: Jul. 01, 2025"
Standard Contract,MTL,2022-09-08,3,2670000,,"RFA (Arb)Cap Percent : -%Signing Team: Montreal CanadiensSigning Date: Sep. 8, 2022"
Entry-Level Contract,MTL,2019-03-31,3,2900000,,"RFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Mar. 31, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000",-
2022-23,-,"$890,000",1.1%,"$890,000",$0,$0,"$770,000","$770,000",-
2023-24,-,"$890,000",1.1%,"$890,000",$0,$0,"$800,000","$800,000",-
2024-25,-,"$890,000",1.0%,"$890,000",$0,$0,"$1,100,000","$1,100,000",-
2019-20,-,"$880,833",1.1%,"$966,667","$257,500","$92,500","$700,000","$792,500","$70,000"
2020-21,-,"$880,833",1.1%,"$966,667",$0,"$92,500","$832,500","$925,000","$70,000"
2021-22,-,"$880,833",1.1%,"$966,667",$0,"$92,500","$832,500","$925,000","$70,000"

