PLAYER CONTRACT SUMMARY
Player Name,Ethan#73 Edwards
Export Date,2025-10-18 14:33:47

DATA SUMMARY
Total Contracts,1
Total Contract Details,2

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Entry-Level Contract,NJD,2025-03-25,2,1850000,,"RFACap Percent : 1.0%Signing Team: New Jersey DevilsSigning Date: Mar. 25, 2025"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$925,000",1.0%,"$925,000",$0,"$92,500","$832,500","$925,000","$80,000"
2026-27,-,"$925,000",0.9%,"$925,000",$0,"$92,500","$832,500","$925,000","$80,000"

