PLAYER CONTRACT SUMMARY
Player Name,Juuso#71 Parssinen
NHL Player ID,8481704
Official Name,Juuso Parssinen
Current Team,NYR
Position,C
Number,#71
Export Date,2025-10-16 16:40:00

DATA SUMMARY
Total Contracts,3
Total Contract Details,6

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),NYR,2025-05-02,2,2500000,,"RFA (Arb)Cap Percent : 1.3%Signing Team: New York RangersSigning Date: May. 02, 2025"
Standard Contract,NSH,2024-09-09,1,775000,,"RFA (Arb)Cap Percent : -%Signing Team: Nashville PredatorsSigning Date: Sep. 09, 2024"
Entry-Level Contract,NSH,2021-05-28,3,2775000,,"RFACap Percent : -%Signing Team: Nashville PredatorsSigning Date: May 28, 2021"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$1,250,000",1.3%,"$1,250,000",$0,"$150,000","$1,050,000","$1,200,000",-
2026-27,-,"$1,250,000",1.2%,"$1,250,000",$0,$0,"$1,300,000","$1,300,000",-
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000",-
2021-22,-,"$850,833",1.0%,"$925,000","$82,500","$92,500","$750,000","$842,500","$70,000"
2022-23,-,"$850,833",1.0%,"$925,000","$82,500","$92,500","$750,000","$842,500","$70,000"
2023-24,-,"$850,833",1.0%,"$925,000","$57,500","$92,500","$775,000","$867,500","$70,000"

