player_contracts_final3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhl_player_id,full_name,team_abbrev,position,age,contract_years_total,years_remaining,contract_start_date,contract_end_date,signing_date,contract_type,no_trade_clause,no_movement_clause,signing_age,signing_team,contract_status,roster_status,retained_percentage,sync_date,data_source,cap_hit_percentage,base_salary,signing_bonus,performance_bonus,clause_details,arbitration_eligible,ufa_year,draft_year,draft_round,draft_overall,must_sign_by,base_2025_26,sb_2025_26,pb_potential_2025_26,cap_hit_2025_26,base_2026_27,sb_2026_27,pb_potential_2026_27,cap_hit_2026_27,base_2027_28,sb_2027_28,pb_potential_2027_28,cap_hit_2027_28,base_2028_29,sb_2028_29,pb_potential_2028_29,cap_hit_2028_29,base_2029_30,sb_2029_30,pb_potential_2029_30,cap_hit_2029_30,base_2030_31,sb_2030_31,pb_potential_2030_31,cap_hit_2030_31
,"Boyd, Travis",TOR,RW,32,2.0,1.0,2024-07-01,2026-06-30,2025-07-01,Standard,,,31.0,Toronto Maple Leafs,UFA,minors,0,2025-10-11,capwages,0.8,775000.0,0.0,0,,,2026.0,2011.0,6.0,177.0,,775000.0,0.0,0.0,775000.0,,,,,,,,,,,,,,,,,,,,
,"Lettieri, Vinni",TOR,RW,30,2.0,1.0,2024-07-01,2026-06-30,2025-07-02,Standard,,,29.0,Toronto Maple Leafs,UFA,minors,0,2025-10-11,capwages,0.8,775000.0,0.0,0,,,2026.0,,,,,775000.0,0.0,0.0,775000.0,,,,,,,,,,,,,,,,,,,,
,"Thrun, Henry",TOR,LD,24,2.0,1.0,2024-07-01,2026-06-30,2024-07-24,Standard,,,23.0,San Jose Sharks,RFA,minors,0,2025-10-11,capwages,1.0,1000000.0,0.0,0,,Yes,,2019.0,4.0,101.0,,1000000.0,0.0,0.0,1000000.0,,,,,,,,,,,,,,,,,,,,
,"Danford, Ben",TOR,RD,19,4.0,3.0,2024-07-01,2028-06-30,2024-07-31,ELC,,,18.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,1.0,867833.3333333330,95333.33333333330,0,,Yes,,2024.0,1.0,31.0,,931500.0,0.0,0.0,931500.0,931500.0,0.0,0.0,931500.0,931500.0,0.0,0.0,931500.0,,,,,,,,,,,,
,"Smith, Blake",TOR,D,21,4.0,3.0,2024-07-01,2028-06-30,2025-04-10,ELC,,,20.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,0.9,787500.0,87500.0,0,,Yes,,,,,,875000.0,0.0,0.0,875000.0,875000.0,0.0,0.0,875000.0,875000.0,0.0,0.0,875000.0,,,,,,,,,,,,
,"Prokop, John",TOR,D,24,2.0,1.0,2024-07-01,2026-06-30,2025-03-20,ELC,,,23.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,0.9,787500.0,87500.0,0,,Yes,,,,,,875000.0,0.0,0.0,875000.0,,,,,,,,,,,,,,,,,,,,
,"Webber, Cade",TOR,LD,24,3.0,2.0,2024-07-01,2027-06-30,2024-10-07,Standard,,,23.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,0.9,825000.0,0.0,0,,Yes,,2019.0,4.0,99.0,,825000.0,0.0,0.0,825000.0,825000.0,0.0,0.0,825000.0,,,,,,,,,,,,,,,,
,"Mermis, Dakota",TOR,LD,31,3.0,2.0,2024-07-01,2027-06-30,2025-07-01,Standard,,,30.0,Toronto Maple Leafs,UFA,minors,0,2025-10-11,capwages,0.9,812500.0,0.0,0,,,2027.0,,,,,812500.0,0.0,0.0,812500.0,812500.0,0.0,0.0,812500.0,,,,,,,,,,,,,,,,
,"Chadwick, Noah",TOR,LD,20,4.0,3.0,2024-07-01,2028-06-30,2023-12-22,ELC,,,19.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,0.8,775000.0,75000.0,0,,Yes,,2023.0,6.0,185.0,,800000.0,0.0,0.0,800000.0,800000.0,0.0,0.0,800000.0,800000.0,0.0,0.0,800000.0,,,,,,,,,,,,
,"Villeneuve, William",TOR,RD,23,2.0,1.0,2024-07-01,2026-06-30,2025-08-05,Standard,,,22.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,0.8,775000.0,0.0,0,,Yes,,2020.0,4.0,122.0,,775000.0,0.0,0.0,775000.0,,,,,,,,,,,,,,,,,,,,
