Team,Total Goals,True Shooting Percentage,Expected Goals,Actual to Expected Goals
"Anaheim",217,0.04693921695868484,218.01838617114117,-13.018386171141174
"Boston",222,0.0492130348038129,236.42091314768186,-32.42091314768186
"Buffalo",265,0.05595439189189189,235.6991812712513,16.30081872874871
"Calgary",220,0.04272674305690426,227.30000822007423,-24.300008220074233
"Carolina",266,0.04683098591549296,270.67697522888193,-26.67697522888193
"Chicago",224,0.055240443896424164,206.75132300553378,9.248676994466223
"Colorado",273,0.052917232021709636,255.77248084527673,-10.772480845276732
"Columbus",267,0.05636478784040532,232.73836368240882,20.261636317591183
"Dallas",275,0.057160673456661815,260.1940565253608,-5.194056525360793
"Detroit",235,0.05046167060339274,235.0259622503654,-19.02596225036541
"Edmonton",259,0.051004332414336356,280.7268888327526,-33.72688883275259
"Florida",246,0.04609331084879146,257.1409106006031,-27.140910600603092
"Los Angeles",249,0.050404858299595144,225.07222986937268,0.9277701306273229
"Minnesota",225,0.049320473476545376,231.24589341069805,-27.245893410698045
"Montreal",243,0.05520218082689687,228.33147965418175,-0.33147965418174863
"NY Islanders",222,0.04424955152481563,256.7373562658904,-47.73735626589041
"NY Rangers",255,0.05216857610474632,251.99705806310521,-9.997058063105214
"Nashville",212,0.04359448899856056,233.16196717711864,-39.16196717711864
"New Jersey",240,0.04914004914004914,262.03598917718045,-33.035989177180454
"Ottawa",242,0.05,262.73013155773515,-33.73013155773515
"Philadelphia",232,0.0518667560921082,246.7223555590026,-27.722355559002608
"Pittsburgh",242,0.049773755656108594,249.49760320642963,-21.49760320642963
"San Jose",208,0.046089076002658984,214.07051256194245,-12.07051256194245
"Seattle",245,0.05217206132879046,222.38695818005363,7.613041819946375
"St. Louis",250,0.05648441030275644,240.5870579002658,-1.5870579002657905
"Tampa Bay",292,0.061036789297658864,278.7347737349337,-14.734773734933697
"Toronto",267,0.05870712401055409,242.0777661910397,2.9222338089603
"Utah",240,0.048969598041216075,254.7489355719881,-26.748935571988113
"Vancouver",233,0.052008928571428574,224.16445150598884,-4.164451505988836
"Vegas",274,0.05642504118616145,259.46545434725704,-7.465454347257037
"Washington",286,0.06013456686291001,240.09433297353098,22.90566702646902
"Winnipeg",275,0.05825037068417708,243.37990944593912,10.62009055406088
