# Colorado Avalanche Goalies Comprehensive Analytics - Team-Internal Percentiles + Basic Stats + Zone Metrics
# Combines advanced analytics (40 metrics) with traditional stats (GP, W, L, GAA, SA, SV, SV%) and zone analytics (xG, Corsi, rebounds)
# Percentiles represent rankings within the COL goalie group (not league-wide)
# Example: 0.85 = 85th percentile among COL goalies = better than 85% of teammates
# Note: Zone analytics available for all 6 players
#
Player Name,Player Jersey Number,Player Current Team,Player ES TOI (Minutes),Player PP TOI (Minutes),Player SH TOI (Minutes),DZ True Turnover Rate,DZ True Turnover Rate (percentile),Dump Out to D2D Pass Ratio,Dump Out to D2D Pass Ratio (percentile),Dump-Out Success Rate,Dump-Out Success Rate (percentile),Inner Slot Save Percentage,Inner Slot Save Percentage (percentile),LPR's per 20,LPR's per 20 (percentile),No Rebound Percentage,No Rebound Percentage (percentile),Outlet Pass Success Rate,Outlet Pass Success Rate (percentile),Outlet Passes per 20,Outlet Passes per 20 (percentile),Outlet to D2D Pass Ratio,Outlet to D2D Pass Ratio (percentile),Rebound Recovery Percentage,Rebound Recovery Percentage (percentile),Save Percentage,Save Percentage (percentile),Slot Save Percentage,Slot Save Percentage (percentile),Stretch Passes per 20,Stretch Passes per 20 (percentile),Stretch to Outlet Pass Ratio,Stretch to Outlet Pass Ratio (percentile),SH Inner Slot Save Percentage,SH Inner Slot Save Percentage (percentile),SH Save Percentage,SH Save Percentage (percentile),SH Slot Save Percentage,SH Slot Save Percentage (percentile),Total TOI(sec),Total TOI(min),GP,W,L,OTL,GAA,SV%,AXGA,ISS%,TOI (sec),TOI (min),Total Games played,Total TOI/GP (sec),Total TOI/GP (min),Expected Goals For WOI,Actual to Expected Goals For WOI,Expected Goals Against WOI,Actual to Expected Goals Against WOI,Shot Attempts For WOI,Corsi Ratio,Shot Attempts Against WOI,Shots On Net For WOI,Shots On Net Ratio,Shots On Net Against WOI,Inner Slot Shots On Net For WOI,Inner Slot Shots On Net Against WOI,Inner Slot Shots On Net Corsi Ratio,Successful Pass to Slot For WOI,Successful Pass to Slot Against WOI,DZ Rebound Recovery Rate WOI,Successful OZ Rebound LPRs Against WOI,TOI Seconds with Puck in OZ,Percentage of Play in OZ,TOI Seconds with Puck in DZ,Percentage of Play in DZ,TOI Seconds with Puck in NZ,Percentage of Play in NZ
Mackenzie Blackwood,39,Colorado,2629.3,255.6,245.0,0.14376996805112,0.4125,0.014218009478673,0.3125,0.16666666666667,0.225,0.78832116788321,0.4375,2.1210608942939,0.025,0.36041834271923,0.4125,0.45454545454545,0.05,0.18605797318367,0.0125,0.11848341232227,0.1625,0.52830188679245,0.4625,0.920059215396,0.65,0.84265734265734,0.6,0.0,0.3625,0.0,0.3625,0.83582089552239,0.8641975308642,0.89686098654709,0.88888888888889,0.85271317829457,0.82716049382716,129918.8,2165:19,37,22,12,3,2.3276077057361984,0.9178885630498532,-0.2971737965873205,0.7914893617021277,193434.2,3223:54,56,3454.182142857143,57:34,147.11442245193757,-1.1144224519375712,151.1329729873687,-14.132972987368705,3209,0.5079138968027856,3109,1632,0.4995408631772268,1635,325,356,0.4772393538913362,821,792,0.5128733264675592,473,77385.56666666665,0.400061450698308,75033.43333333338,0.3879015878956946,41015.2,0.2120369614059974
Scott Wedgewood,41,Colorado,1135.1,115.8,102.4,0.10687022900763,0.8,0.032786885245902,0.6875,0.33333333333333,0.725,0.84821428571429,0.9375,4.2111136398676,0.6,0.37319587628866,0.6,0.58139534883721,0.2625,0.44049305856355,0.45,0.13661202185792,0.275,0.5,0.1375,0.92734225621415,0.8375,0.87772925764192,0.95,0.035239444685084,0.85,0.08,0.85,0.69230769230769,0.24691358024691,0.84415584415584,0.38271604938272,0.8,0.46913580246914,66788.13333333332,1113:08,19,13,4,1,1.9943662646657796,0.9240246406570842,-0.5179382870420495,0.8217821782178217,82389.49999999999,1373:09,24,3432.8958333333326,57:13,66.62487998208962,-2.624879982089624,62.52312503004214,-9.523125030042138,1336,0.5253637436099096,1207,695,0.5249244712990937,629,130,132,0.4961832061068702,317,280,0.5122615803814714,179,32699.566666666615,0.3968899758666653,31424.76666666665,0.3814171304191269,18265.16666666669,0.2216928937142074
Trent Miner,50,Colorado,85.6,4.0,2.0,0.2,0.075,0.0,0.075,0.0,0.0625,0.5,0.0,4.2051980920861,0.5875,0.35714285714286,0.3875,0.5,0.1,0.46724423245401,0.475,0.18181818181818,0.4875,0.33333333333333,0.0,0.875,0.025,0.72727272727273,0.0125,0.0,0.3625,0.0,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,5496.5,91:37,2,0,1,0,2.619848994814882,0.875,1.057717722035686,0.5,5496.5,91:37,2,2748.25,45:48,3.8133692037081346,-1.8133692037081344,2.3850707057863474,1.6149292942136526,94,0.5562130177514792,75,52,0.6190476190476191,32,7,4,0.6363636363636364,26,13,0.3333333333333333,12,2306.566666666668,0.419642802995846,1972.9333333333336,0.358943570150702,1216.9999999999998,0.2214136268534521
Kaapo Kahkonen,34,Winnipeg,44.8,6.6,6.9,0.0,1.0,0.33333333333333,1.0,1.0,0.9875,0.5,0.0,3.1242251425738,0.1875,0.16666666666667,0.0,1.0,1.0,0.89263575502108,0.9125,0.66666666666667,1.0,0.4,0.0,0.75,0.0,0.25,0.0,0.0,0.3625,0.0,0.3625,0.0,0.0,1.0,1.0,1.0,1.0,3497.3333333333303,58:17,1,0,1,0,4.117422798322535,0.7894736842105263,1.2935891070818943,0.6666666666666666,3497.3333333333303,58:17,1,3497.3333333333303,58:17,3.3889939396176487,-1.3889939396176487,2.7433021378237754,1.2566978621762246,68,0.6238532110091743,41,39,0.6724137931034483,19,10,3,0.7692307692307693,19,14,0.3846153846153846,8,1581.3000000000045,0.4521444910407945,1155.866666666668,0.3304994281357231,760.1666666666595,0.2173560808234826
Alexandar Georgiev,40,San Jose,2261.0,183.6,191.1,0.17920353982301,0.1625,0.0094936708860759,0.225,0.13636363636364,0.15,0.76383763837638,0.2125,3.7593707845291,0.425,0.3623046875,0.475,0.45762711864407,0.0625,0.23883061454655,0.0875,0.085443037974684,0.0375,0.50689127105666,0.2125,0.89667250437828,0.1625,0.8271375464684,0.2875,0.0,0.3625,0.0,0.3625,0.81428571428571,0.80246913580247,0.82547169811321,0.19753086419753,0.83206106870229,0.69135802469136,56451.733333333315,940:52,18,8,7,0,3.37987850387824,0.8850325379609545,0.0720235292451469,0.71900826446281,160312.2,2671:52,49,3271.6775510204084,54:32,127.00881888333242,-14.008818883332424,154.72538125986466,10.274618740135338,2538,0.4849063813526939,2696,1254,0.4696629213483146,1416,279,355,0.4400630914826498,668,726,0.4812967581047381,417,62069.60000000009,0.3871795159694651,63881.466666666616,0.3984816293873243,34361.13333333332,0.2143388546432106
Justus Annunen,29,Nashville,1515.3,134.2,131.3,0.09765625,0.95,0.061728395061728,0.925,0.5,0.975,0.81437125748503,0.6875,3.0621773797045,0.1875,0.36322869955157,0.4875,0.71666666666667,0.875,0.56755873847971,0.6375,0.26543209876543,0.7875,0.51408450704225,0.3,0.90527740189445,0.2625,0.82335329341317,0.2625,0.013199040429761,0.5125,0.023255813953488,0.5375,0.70967741935484,0.28395061728395,0.80357142857143,0.098765432098765,0.7536231884058,0.19753086419753,31247.633333333335,520:48,11,6,4,0,3.2258443039419515,0.8875502008032129,0.6172842794220308,0.7692307692307693,107385.56666666664,1789:46,34,3158.3990196078425,52:38,90.34836477751378,-8.34836477751378,93.98448373313296,1.0155162668670528,1734,0.510450397409479,1663,917,0.5102949360044519,880,196,206,0.4875621890547263,464,483,0.5040322580645161,247,43647.86666666663,0.4064593410598007,39887.56666666666,0.3714425309174076,23850.1333333333,0.2220981280227911
