player_name,player_id,position,roster_status,dead_cap,jersey_number,age,birth_date,birth_country,height_inches,weight_pounds,shoots_catches,drafted_by,draft_year,draft_round,draft_overall,must_sign_date,headshot
"Agozzino, Andrew",8475461,LW,roster,,,34,1991-01-03,CAN,70,187,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8475461.png
"Carcone, Michael",8479619,LW,roster,,,29,1996-05-19,CAN,69,170,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8479619.png
"Cole, Ian",8474013,LD,roster,,,36,1989-02-21,USA,73,225,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8474013.png
"Cooley, Logan",8483431,"C,LW",roster,,,21,2004-05-04,USA,72,191,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8483431.png
"Crouse, Lawson",8478474,"LW,RW",roster,,,28,1997-06-23,CAN,76,215,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8478474.png
"DeSimone, Nick",8480084,RD,roster,,,30,1994-11-21,USA,74,185,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8480084.png
"Durzi, Sean",8480434,"RD,LD",roster,,,26,1998-10-21,CAN,72,195,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8480434.png
"Ekman-Larsson, Oliver",8475171,"LD,RD",roster,Yes,,34,1991-07-17,SWE,74,200,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/TOR/8475171.png
"Goldsmith, Terrell",,LD,roster,,,20,,,,,,,,,,,
"Guenther, Dylan",8482699,RW,roster,,,22,2003-04-10,CAN,74,175,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8482699.png
"Hayton, Barrett",8480849,C,roster,,,25,2000-06-09,CAN,73,207,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8480849.png
"Ingram, Connor",8478971,G,roster,Yes,,28,1997-03-31,CAN,74,196,L,,,,,,https://assets.nhle.com/mugs/nhl/20212022/NSH/8478971.png
"Keller, Clayton",8479343,"RW,LW",roster,,,27,1998-07-29,USA,70,178,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8479343.png
"Kerfoot, Alex",,"LW,RW,C",roster,,,31,,,,,,,,,,,
"Maatta, Olli",,"LD,RD",roster,,,31,,,,,,,,,,,
"Marino, John",8478507,"RD,LD",roster,,,28,1997-05-21,USA,73,181,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8478507.png
"McBain, Jack",8480855,"C,LW",roster,,,25,2000-01-06,CAN,75,201,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/UTA/8480855.png
