player_name,player_id,position,roster_status,dead_cap,jersey_number,age,birth_date,birth_country,height_inches,weight_pounds,shoots_catches,drafted_by,draft_year,draft_round,draft_overall,must_sign_date,headshot
"Anderson, Mikey",8479998,LD,roster,,,26,1999-05-25,USA,72,195,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8479998.png
"Armia, Joel",8476469,RW,roster,,,32,1993-05-31,FIN,75,216,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8476469.png
"Booth, Angus",,LD,roster,,,21,,,,,,,,,,,
"Burroughs, Kyle",8477335,"RD,LD",roster,,,30,1995-07-12,CAN,72,193,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8477335.png
"Byfield, Quinton",8482124,"C,RW",roster,,,23,2002-08-19,CAN,77,220,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8482124.png
"Ceci, Cody",8476879,RD,roster,,,31,1993-12-21,CAN,74,210,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8476879.png
"Clarke, Brandt",8482730,RD,roster,,,22,2003-02-09,CAN,74,185,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8482730.png
"Copley, Pheonix",8477831,G,roster,,,33,1992-01-18,USA,76,200,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/TBL/8477831.png
"Danault, Phillip",8476479,C,roster,,,32,1993-02-24,CAN,73,200,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8476479.png
"Doughty, Drew",8474563,RD,roster,,,35,1989-12-08,CAN,73,210,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8474563.png
"Dumoulin, Brian",8475208,LD,roster,,,34,1991-09-06,USA,76,207,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8475208.png
"Edmundson, Joel",8476441,LD,roster,,,32,1993-06-28,CAN,77,221,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8476441.png
"Fiala, Kevin",8477942,LW,roster,,,29,1996-07-22,CHE,70,204,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8477942.png
"Foegele, Warren",8477998,LW,roster,,,29,1996-04-01,CAN,74,198,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8477998.png
"Forsberg, Anton",8476341,G,roster,,,32,1992-11-27,SWE,75,193,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8476341.png
"Helenius, Samuel",8482726,C,roster,,,22,2002-11-26,USA,78,201,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8482726.png
"Kempe, Adrian",8477960,"RW,LW",roster,,,29,1996-09-13,SWE,74,200,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8477960.png
"Kopitar, Anze",8471685,C,roster,,,38,1987-08-24,SVN,75,225,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8471685.png
"Kuemper, Darcy",8475311,G,roster,,,35,1990-05-05,CAN,77,215,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8475311.png
"Kuzmenko, Andrei",8483808,LW,roster,,,29,1996-02-04,RUS,71,194,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8483808.png
"Laferriere, Alex",8482155,RW,roster,,,23,2001-10-28,USA,73,205,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8482155.png
"Malott, Jeff",8482408,LW,roster,,,29,1996-08-07,CAN,77,208,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8482408.png
"Moore, Trevor",8479675,"RW,LW",roster,,,30,1995-03-31,USA,70,195,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/LAK/8479675.png
