player_name,player_id,position,roster_status,dead_cap,jersey_number,age,birth_date,birth_country,height_inches,weight_pounds,shoots_catches,drafted_by,draft_year,draft_round,draft_overall,must_sign_date,headshot
"Kirsch, Christian",,G,unsigned,,,19,,,,,,SJS,2024,4,116,"Jun. 1, 2028",
"Klee, David",,C,unsigned,,,20,,,,,,SJS,2023,7,196,"Aug. 15, 2028",
"Korostelyov, Yaroslav",,G,unsigned,,,20,,,,,,SJS,2024,7,194,-,
"Landen, Axel",,RD,unsigned,,,20,,,,,,SJS,2023,5,130,"Jun. 1, 2027",
"Laubach, Reese",,C,unsigned,,,21,,,,,,SJS,2022,7,217,"Aug. 15, 2027",
"Magomedsultanov, Ilyas",,D,unsigned,,,18,,,,,,SJS,2025,4,115,-,
"Mckinney, Cole",,C,unsigned,,,18,,,,,,SJS,2025,2,53,"Aug. 15, 2029",
"Misskey, Nate",,RD,unsigned,,,20,,,,,,SJS,2024,5,143,"Jun. 1, 2026",
"Muldowney, Joey",,RW,unsigned,,,21,,,,,,SJS,2022,6,172,"Aug. 15, 2027",
"Mutryn, Teddy",,C,unsigned,,,18,,,,,,SJS,2025,3,95,"Aug. 15, 2029",
"Pohlkamp, Eric",,RD,unsigned,,,21,,,,,,SJS,2023,5,132,"Aug. 15, 2027",
"Ravensbergen, Joshua",,G,unsigned,,,18,,,,,,SJS,2025,1,30,"Jun. 1, 2027",
"Rimashevskiy, Yegor",,RW,unsigned,,,20,,,,,,SJS,2023,7,203,-,
"Roberts, Colton",,RD,unsigned,,,19,,,,,,SJS,2024,5,131,"Jun. 1, 2026",
"Sharp, Zack",,D,unsigned,,,20,,,,,,SJS,2025,4,124,"Aug. 15, 2029",
"Spiridonov, Yegor",,C,unsigned,,,24,,,,,,SJS,2019,4,108,-,
"Svoboda, Brandon",,C,unsigned,,,20,,,,,,SJS,2023,3,71,"Aug. 15, 2028",
"Wang, Simon",,D,unsigned,,,18,,,,,,SJS,2025,2,33,"Aug. 15, 2029",
"Wetsch, Carson",,RW,unsigned,,,19,,,,,,SJS,2024,3,82,"Jun. 1, 2026",
