player_name,player_id,position,roster_status,dead_cap,jersey_number,age,birth_date,birth_country,height_inches,weight_pounds,shoots_catches,drafted_by,draft_year,draft_round,draft_overall,must_sign_date,headshot
"Carlsson, Leo",8484153,"C,RW",roster,,,20,2004-12-26,SWE,75,194,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8484153.png
"Colangelo, Sam",8482118,RW,roster,,,23,2001-12-26,USA,74,205,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8482118.png
"Dostal, Lukas",8480843,G,roster,,,25,2000-06-22,CZE,74,174,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8480843.png
"Fowler, Cam",8475764,"LD,RD",roster,Yes,,33,1991-12-05,CAN,74,215,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/STL/8475764.png
"Gauthier, Cutter",8483445,LW,roster,,,21,2004-01-19,SWE,74,189,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8483445.png
"Granlund, Mikael",8475798,"C,RW",roster,,,33,1992-02-26,FIN,70,185,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475798.png
"Gudas, Radko",8475462,RD,roster,,,35,1990-06-05,CZE,72,208,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475462.png
"Harkins, Jansen",8478424,"RW,C,LW",roster,,,28,1997-05-23,USA,74,197,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8478424.png
"Helleson, Drew",8481563,RD,roster,,,24,2001-03-26,USA,75,190,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8481563.png
"Husso, Ville",8478024,G,roster,Yes,,30,1995-02-06,FIN,75,200,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8478024.png
"Johnston, Ross",8477527,LW,roster,,,31,1994-02-18,CAN,77,230,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8477527.png
"Killorn, Alex",8473986,"LW,RW",roster,,,36,1989-09-14,CAN,73,194,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8473986.png
"Kreider, Chris",8475184,"LW,RW",roster,,,34,1991-04-30,USA,75,230,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475184.png
"LaCombe, Jackson",8481605,LD,roster,,,24,2001-01-09,USA,74,205,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8481605.png
"McTavish, Mason",8482745,C,roster,,,22,2003-01-30,CHE,72,213,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8482745.png
"Mintyukov, Pavel",8483490,"LD,RD",roster,,,21,2003-11-25,RUS,73,195,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8483490.png
"Mrazek, Petr",8475852,G,roster,,,33,1992-02-14,CZE,74,188,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8475852.png
"Nesterenko, Nikita",8481754,"LW,RW,C",roster,,,24,2001-09-10,USA,74,183,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8481754.png
"Pitre, Coulson",,RW,roster,,,20,,,,,,,,,,,
"Poehling, Ryan",8480068,"C,LW",roster,,,26,1999-01-03,USA,74,196,L,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8480068.png
"Sennecke, Beckett",8484762,RW,roster,,,19,2006-01-28,CAN,75,206,R,,,,,,https://assets.nhle.com/mugs/nhl/20252026/ANA/8484762.png
