Metric Label,Montreal,New Jersey,Players
"ES Expected Goals For",3.261572765478056,3.8921400778698225,""
"ES Actual to Expected Goals For",-0.9832199301945282,0.2848401201499803,""
"ES Expected Goals Against",3.8921400778698225,3.261572765478056,""
"ES Actual to Expected Goals Against",0.2848401201499803,-0.9832199301945282,""
"PP Expected Goals For",1.48564488522662,5.693980788142414,""
"PP Actual to Expected Goals For",-1.48564488522662,-5.693980788142414,""
"SH Expected Goals Against",5.693980788142414,1.48564488522662,""
"SH Actual to Expected Goals Against",-5.693980788142414,-1.48564488522662,""
"ES Shot Attempts For",61.51552655265525,60.37635013501351,""
"ES Shot Attempts Against",60.37635013501351,61.51552655265525,""
"ES% Shot Attempts On Net",0.5370370370370371,0.5408805031446541,""
"ES Screened Shots On Net",10.63231323132313,6.455333033303331,""
"ES% of Shots On Net That Are Screened",0.3218390804597701,0.19767441860465115,""
"ES% Face-Offs Won Resulting in Shot On Net",0.3333333333333333,0.2608695652173913,""
"ES Goals Scored",2.278352835283528,4.556705670567057,""
"ES Shot Attempts From Slot For",19.36599909990999,25.44160666066607,""
"ES Passes to the Slot For",14.049842484248423,12.530940594059407,""
"ES Shot Attempts From Slot Off the Cycle",6.075607560756074,11.391764176417643,""
"ES Shot Attempts From Slot Off the Rush",6.835058505850584,4.176980198019803,""
"ES Odd Man Rushes",3.037803780378038,3.037803780378037,""
"ES Shot Attempts From Slot Off the Forecheck",1.5189018901890186,5.3161566156615665,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",1.5189018901890186,1.518901890189019,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0,0.13043478260869565,""
"ES Shot Attempts From Slot Against",25.44160666066607,19.36599909990999,""
"ES Shots On Net From Slot Against",15.9484698469847,14.049842484248423,""
"ES% of Opposition Shot Attempts Blocked",0.2578616352201258,0.30246913580246915,""
"ES Shot Attempts From Slot Off the Cycle Against",11.391764176417643,6.075607560756074,""
"ES Shot Attempts From Slot Off the Rush Against",4.176980198019803,6.835058505850584,""
"ES Shot Attempts From Slot Off the Forecheck Against",5.3161566156615665,1.5189018901890186,""
"ES Odd Man Rushes Against",3.037803780378037,3.037803780378038,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.2608695652173913,0.3333333333333333,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.13043478260869565,0,""
"ES OZ Possession Time",372.257538253826,312.8558168316826,""
"ES OZ Face-Offs Win%",0.5555555555555556,0.5,""
"ES OZ Dump-In Recoveries",21.26462646264626,17.087646264626464,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6119402985074627,0.6206896551724138,""
"ES Controlled Entry Success%",0.550561797752809,0.5466666666666666,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.21983914209115282,0.16272189349112426,""
"ES OZ Shot Attempts Recovered",11.771489648964895,11.771489648964899,""
"ES OZ Contested Loose Puck Recovery Win%",0.2692307692307692,0.3050847457627119,""
"ES Opposition OZ Possession Time",312.8558168316826,372.257538253826,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6111111111111112,0.5306122448979592,""
"ES Team Entry Denial Success%",0.4533333333333333,0.4444444444444444,""
"ES DZ Contested Loose Puck Recovery Win%",0.21774193548387097,0.2802547770700637,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.4450402144772118,0.3698224852071006,""
"ES Breakout Success% (Reaches NZ)",0.6548223350253807,0.5865384615384616,""
"ES Zone Exit Success% (Reaches NZ)",0.8372781065088757,0.7801608579088471,""
"ES Successful Stretch Passes",12.910666066606659,11.012038703870388,""
"Goalie ES Save%",0.8705882352941177,0.9310344827586207,""
"Goalie ES Inner Slot Save%",0.6666666666666666,0.8947368421052632,""
"Goalie ES No Rebound%",0.43243243243243246,0.3333333333333333,""
"Goalie SH Save%",1,1,""
"Goalie SH Inner Slot Save%",1,0,""
"PP Controlled Entry Success%",0.75,0.7777777777777778,""
"PP% OZ Zone Time",0.584107212367235,0.7180033339507325,""
"PP Passes to Slot",0,1.6669753658084872,""
"PP Shots On Net From Slot For",0,1.1668827560659412,""
"PP Goals Scored",0,0,""
"PP True Shooting % (Goals/Shot Attempts)",0,0,""
"PP OZ Face-Offs Win%",0.14285714285714285,0.5384615384615384,""
"PP% Face-Offs Won Resulting in Shot On Net",0,0.5714285714285714,""
"SH Shot Attempts From Slot Against",1.833672902389336,0.40037813490518936,""
"SH Inner Slot Shots On Net Against",0.3333950731616975,0,""
"SH Goals Against",0,0,""
"SH Passes to the Slot Against",1.6669753658084872,0,""
"SH% of Opposition Shot Attempts Blocked",0.2631578947368421,0.4,""
"SH DZ Entry Denial Success%",0.2222222222222222,0.25,""
"SH% DZ Zone Time",0.718003333950733,0.5841072123672348,""
"SH DZ Face-Offs Win%",0.46153846153846156,0.8571428571428571,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.5,0.3333333333333333,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
