Metric Label,Montreal,Detroit,Players
"ES Expected Goals For",2.8534557856463456,2.848509584669844,""
"ES Actual to Expected Goals For",0.26351728716960815,-0.6666284336986762,""
"ES Expected Goals Against",2.848509584669844,2.8534557856463456,""
"ES Actual to Expected Goals Against",-0.6666284336986762,0.26351728716960815,""
"PP Expected Goals For",3.748213105943619,5.929832919046712,""
"PP Actual to Expected Goals For",1.9541549607952053,-3.6622592229015907,""
"SH Expected Goals Against",5.929832919046712,3.748213105943619,""
"SH Actual to Expected Goals Against",-3.6622592229015907,1.9541549607952053,""
"ES Shot Attempts For",58.59909376893994,60.78097491991111,""
"ES Shot Attempts Against",60.78097491991111,58.59909376893994,""
"ES% Shot Attempts On Net",0.4946808510638298,0.5692307692307692,""
"ES Screened Shots On Net",7.792432682039885,6.8573407601950995,""
"ES% of Shots On Net That Are Screened",0.26881720430107525,0.1981981981981982,""
"ES% Face-Offs Won Resulting in Shot On Net",0.2,0.2,""
"ES Goals Scored",3.7403676873791447,2.181881150971168,""
"ES Shot Attempts From Slot For",22.753903431556463,23.37729804611966,""
"ES Passes to the Slot For",14.961470749516579,10.597708447574245,""
"ES Shot Attempts From Slot Off the Cycle",9.974313833011053,8.104129989321482,""
"ES Shot Attempts From Slot Off the Rush",5.610551531068717,7.169038067476695,""
"ES Odd Man Rushes",3.740367687379145,5.298854223787122,""
"ES Shot Attempts From Slot Off the Forecheck",4.05206499466074,3.1169730728159544,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0.9350919218447862,1.8701838436895728,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.05714285714285714,0.13333333333333333,""
"ES Shot Attempts From Slot Against",23.37729804611966,22.753903431556463,""
"ES Shots On Net From Slot Against",14.96147074951658,13.402984213108603,""
"ES% of Opposition Shot Attempts Blocked",0.21025641025641026,0.30851063829787234,""
"ES Shot Attempts From Slot Off the Cycle Against",8.104129989321482,9.974313833011053,""
"ES Shot Attempts From Slot Off the Rush Against",7.169038067476695,5.610551531068717,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.1169730728159544,4.05206499466074,""
"ES Odd Man Rushes Against",5.298854223787122,3.740367687379145,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.2,0.2,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.13333333333333333,0.05714285714285714,""
"ES OZ Possession Time",410.40145458743433,352.3841957920867,""
"ES OZ Face-Offs Win%",0.5384615384615384,0.5,""
"ES OZ Dump-In Recoveries",14.961470749516579,15.584865364079771,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6724137931034483,0.4666666666666667,""
"ES Controlled Entry Success%",0.6029411764705882,0.5575221238938053,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.21232876712328766,0.17674418604651163,""
"ES OZ Shot Attempts Recovered",14.338076134953388,13.091286905827008,""
"ES OZ Contested Loose Puck Recovery Win%",0.28160919540229884,0.3404255319148936,""
"ES Opposition OZ Possession Time",352.3841957920867,410.40145458743433,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.8,0.5135135135135135,""
"ES Team Entry Denial Success%",0.4424778761061947,0.39855072463768115,""
"ES DZ Contested Loose Puck Recovery Win%",0.2777777777777778,0.32947976878612717,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.408675799086758,0.3883720930232558,""
"ES Breakout Success% (Reaches NZ)",0.6116071428571429,0.6016949152542372,""
"ES Zone Exit Success% (Reaches NZ)",0.8232558139534883,0.7876712328767124,""
"ES Successful Stretch Passes",18.701838436895724,12.779589598545414,""
"Goalie ES Save%",0.9369369369369369,0.8901098901098901,""
"Goalie ES Inner Slot Save%",0.8421052631578947,0.7777777777777778,""
"Goalie ES No Rebound%",0.36538461538461536,0.4444444444444444,""
"Goalie SH Save%",0.9583333333333334,0.8888888888888888,""
"Goalie SH Inner Slot Save%",1,1,""
"PP Controlled Entry Success%",0.5555555555555556,0.7878787878787878,""
"PP% OZ Zone Time",0.6819345811663465,0.6781725035693301,""
"PP Passes to Slot",0.8553552100108237,1.3605442176870723,""
"PP Shots On Net From Slot For",0.47519733889490207,1.2093726379440644,""
"PP Goals Scored",0.19007893555796082,0.07558578987150402,""
"PP True Shooting % (Goals/Shot Attempts)",0.05714285714285714,0.02127659574468085,""
"PP OZ Face-Offs Win%",0.47619047619047616,0.6,""
"PP% Face-Offs Won Resulting in Shot On Net",0.5,0.2,""
"SH Shot Attempts From Slot Against",2.0408163265306087,1.3305525489057257,""
"SH Inner Slot Shots On Net Against",0.5291005291005282,0.09503946777898041,""
"SH Goals Against",0.07558578987150402,0.19007893555796082,""
"SH Passes to the Slot Against",1.3605442176870723,0.8553552100108237,""
"SH% of Opposition Shot Attempts Blocked",0.19148936170212766,0.2571428571428571,""
"SH DZ Entry Denial Success%",0.21212121212121213,0.4444444444444444,""
"SH% DZ Zone Time",0.6781725035693301,0.6819345811663461,""
"SH DZ Face-Offs Win%",0.4,0.5238095238095238,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.5,0.6363636363636364,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
