Metric Label,Montreal,Edmonton,Players
"ES Expected Goals For",2.224436481678579,3.2150235563680516,""
"ES Actual to Expected Goals For",0.11944068179600083,-2.629054265499407,""
"ES Expected Goals Against",3.2150235563680516,2.224436481678579,""
"ES Actual to Expected Goals Against",-2.629054265499407,0.11944068179600083,""
"PP Expected Goals For",4.079927452744226,4.34280248633832,""
"PP Actual to Expected Goals For",-4.079927452744226,1.924606984413764,""
"SH Expected Goals Against",4.34280248633832,4.079927452744226,""
"SH Actual to Expected Goals Against",1.924606984413764,-4.079927452744226,""
"ES Shot Attempts For",49.22142043296618,59.76886766860177,""
"ES Shot Attempts Against",59.76886766860177,49.22142043296618,""
"ES% Shot Attempts On Net",0.5595238095238095,0.5490196078431373,""
"ES Screened Shots On Net",4.101785036080515,8.203570072161028,""
"ES% of Shots On Net That Are Screened",0.14893617021276595,0.25,""
"ES% Face-Offs Won Resulting in Shot On Net",0.09090909090909091,0.3,""
"ES Goals Scored",2.9298464543432248,0.5859692908686448,""
"ES Shot Attempts From Slot For",18.165048016927994,21.094894471271214,""
"ES Passes to the Slot For",14.649232271716125,12.30535510824154,""
"ES Shot Attempts From Slot Off the Cycle",5.273723617817804,7.031631490423738,""
"ES Shot Attempts From Slot Off the Rush",8.20357007216103,7.031631490423738,""
"ES Odd Man Rushes",6.445662199555093,5.273723617817804,""
"ES Shot Attempts From Slot Off the Forecheck",1.1719385817372898,3.515815745211869,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",4.687754326949159,1.1719385817372896,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0,0.1,""
"ES Shot Attempts From Slot Against",21.094894471271214,18.165048016927994,""
"ES Shots On Net From Slot Against",12.891324399110186,10.547447235635609,""
"ES% of Opposition Shot Attempts Blocked",0.2647058823529412,0.27380952380952384,""
"ES Shot Attempts From Slot Off the Cycle Against",7.031631490423738,5.273723617817804,""
"ES Shot Attempts From Slot Off the Rush Against",7.031631490423738,8.20357007216103,""
"ES Shot Attempts From Slot Off the Forecheck Against",3.515815745211869,1.1719385817372898,""
"ES Odd Man Rushes Against",5.273723617817804,6.445662199555093,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.3,0.09090909090909091,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.1,0,""
"ES OZ Possession Time",286.5194509250704,493.2298844338322,""
"ES OZ Face-Offs Win%",0.5789473684210527,0.4,""
"ES OZ Dump-In Recoveries",16.40714014432206,15.82117085345341,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.4,0.5714285714285714,""
"ES Controlled Entry Success%",0.46774193548387094,0.7073170731707317,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.136986301369863,0.17937219730941703,""
"ES OZ Shot Attempts Recovered",12.305355108241544,12.891324399110186,""
"ES OZ Contested Loose Puck Recovery Win%",0.22857142857142856,0.3275862068965517,""
"ES Opposition OZ Possession Time",493.2298844338322,286.5194509250704,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.5769230769230769,0.8333333333333334,""
"ES Team Entry Denial Success%",0.2926829268292683,0.532258064516129,""
"ES DZ Contested Loose Puck Recovery Win%",0.23809523809523808,0.32926829268292684,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.3150684931506849,0.39461883408071746,""
"ES Breakout Success% (Reaches NZ)",0.639344262295082,0.7435897435897436,""
"ES Zone Exit Success% (Reaches NZ)",0.820627802690583,0.863013698630137,""
"ES Successful Stretch Passes",19.336986598665284,13.477293689978831,""
"Goalie ES Save%",0.9821428571428571,0.9130434782608695,""
"Goalie ES Inner Slot Save%",0.8333333333333334,0.875,""
"Goalie ES No Rebound%",0.36363636363636365,0.2619047619047619,""
"Goalie SH Save%",0.8571428571428571,1,""
"Goalie SH Inner Slot Save%",1,1,""
"PP Controlled Entry Success%",0.7777777777777778,0.8333333333333334,""
"PP% OZ Zone Time",0.6689960561821082,0.7227831940575667,""
"PP Passes to Slot",0.9963329412578715,1.880222841225625,""
"PP Shots On Net From Slot For",0.7472497059434037,0.4178272980501389,""
"PP Goals Scored",0,0.20891364902506945,""
"PP True Shooting % (Goals/Shot Attempts)",0,0.058823529411764705,""
"PP OZ Face-Offs Win%",0.3333333333333333,0.5714285714285714,""
"PP% Face-Offs Won Resulting in Shot On Net",1,0.25,""
"SH Shot Attempts From Slot Against",1.4623955431754863,1.2454161765723395,""
"SH Inner Slot Shots On Net Against",0.20891364902506945,0.24908323531446788,""
"SH Goals Against",0.20891364902506945,0,""
"SH Passes to the Slot Against",1.880222841225625,0.9963329412578715,""
"SH% of Opposition Shot Attempts Blocked",0.35294117647058826,0.2,""
"SH DZ Entry Denial Success%",0.16666666666666666,0.2222222222222222,""
"SH% DZ Zone Time",0.718576208879253,0.668996056182108,""
"SH DZ Face-Offs Win%",0.42857142857142855,0.6666666666666666,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.3333333333333333,0.8333333333333334,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
