Metric Label,Montreal,Dallas,Players
"ES Expected Goals For",2.0614048030318437,3.0408180436840846,""
"ES Actual to Expected Goals For",-0.8976430509238729,-1.8770562915761133,""
"ES Expected Goals Against",3.0408180436840846,2.0614048030318437,""
"ES Actual to Expected Goals Against",-1.8770562915761133,-0.8976430509238729,""
"PP Expected Goals For",3.378163395813353,1.3244366199515827,""
"PP Actual to Expected Goals For",3.4798503202140996,-1.3244366199515827,""
"SH Expected Goals Against",1.3244366199515827,3.378163395813353,""
"SH Actual to Expected Goals Against",-1.3244366199515827,3.4798503202140996,""
"ES Shot Attempts For",59.3518493575065,64.58877724199242,""
"ES Shot Attempts Against",64.58877724199242,59.3518493575065,""
"ES% Shot Attempts On Net",0.5098039215686274,0.5675675675675675,""
"ES Screened Shots On Net",5.236927884485868,5.236927884485872,""
"ES% of Shots On Net That Are Screened",0.17307692307692307,0.14285714285714285,""
"ES% Face-Offs Won Resulting in Shot On Net",0.26666666666666666,0.2857142857142857,""
"ES Goals Scored",1.745642628161956,1.1637617521079715,""
"ES Shot Attempts From Slot For",23.275235042159412,25.020877670321386,""
"ES Passes to the Slot For",16.29266452951159,14.547021901349645,""
"ES Shot Attempts From Slot Off the Cycle",6.982570512647824,8.728213140809787,""
"ES Shot Attempts From Slot Off the Rush",8.146332264755795,8.1463322647558,""
"ES Odd Man Rushes",6.400689636593843,9.310094016863765,""
"ES Shot Attempts From Slot Off the Forecheck",2.9094043802699265,1.7456426281619573,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",0,2.9094043802699288,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.4,0.2857142857142857,""
"ES Shot Attempts From Slot Against",25.020877670321386,23.275235042159412,""
"ES Shots On Net From Slot Against",15.710783653457616,12.801379273187678,""
"ES% of Opposition Shot Attempts Blocked",0.2702702702702703,0.2647058823529412,""
"ES Shot Attempts From Slot Off the Cycle Against",8.728213140809787,6.982570512647824,""
"ES Shot Attempts From Slot Off the Rush Against",8.1463322647558,8.146332264755795,""
"ES Shot Attempts From Slot Off the Forecheck Against",1.7456426281619573,2.9094043802699265,""
"ES Odd Man Rushes Against",9.310094016863765,6.400689636593843,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.2857142857142857,0.26666666666666666,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.2857142857142857,0.4,""
"ES OZ Possession Time",328.87907114571334,398.0065192209306,""
"ES OZ Face-Offs Win%",0.39473684210526316,0.45161290322580644,""
"ES OZ Dump-In Recoveries",18.038307157673543,12.801379273187687,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6071428571428571,0.5348837209302325,""
"ES Controlled Entry Success%",0.5443037974683544,0.6097560975609756,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.1506276150627615,0.1862348178137652,""
"ES OZ Shot Attempts Recovered",12.801379273187678,9.310094016863772,""
"ES OZ Contested Loose Puck Recovery Win%",0.20833333333333334,0.20270270270270271,""
"ES Opposition OZ Possession Time",398.0065192209306,328.87907114571334,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6896551724137931,0.5,""
"ES Team Entry Denial Success%",0.37349397590361444,0.46153846153846156,""
"ES DZ Contested Loose Puck Recovery Win%",0.3013698630136986,0.2549019607843137,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.3723849372384937,0.4251012145748988,""
"ES Breakout Success% (Reaches NZ)",0.71875,0.6929133858267716,""
"ES Zone Exit Success% (Reaches NZ)",0.8137651821862348,0.8493723849372385,""
"ES Successful Stretch Passes",13.965141025295647,14.547021901349645,""
"Goalie ES Save%",0.9682539682539683,0.9607843137254902,""
"Goalie ES Inner Slot Save%",0.9285714285714286,0.9,""
"Goalie ES No Rebound%",0.29508196721311475,0.4489795918367347,""
"Goalie SH Save%",1,0.8333333333333334,""
"Goalie SH Inner Slot Save%",0,1,""
"PP Controlled Entry Success%",0.6,0.9166666666666666,""
"PP% OZ Zone Time",0.5951866903733793,0.6765448958688975,""
"PP Passes to Slot",0.9144018288036605,0.7374530556503922,""
"PP Shots On Net From Slot For",0.6858013716027453,0,""
"PP Goals Scored",0.22860045720091512,0,""
"PP True Shooting % (Goals/Shot Attempts)",0.1111111111111111,0,""
"PP OZ Face-Offs Win%",0.7272727272727273,0.8333333333333334,""
"PP% Face-Offs Won Resulting in Shot On Net",0.375,0.2,""
"SH Shot Attempts From Slot Against",0.7374530556503922,0.9144018288036605,""
"SH Inner Slot Shots On Net Against",0,0.6858013716027453,""
"SH Goals Against",0,0.22860045720091512,""
"SH Passes to the Slot Against",0.7374530556503922,0.9144018288036605,""
"SH% of Opposition Shot Attempts Blocked",0.3333333333333333,0.3333333333333333,""
"SH DZ Entry Denial Success%",0.08333333333333333,0.4,""
"SH% DZ Zone Time",0.676146851712586,0.5929534658017066,""
"SH DZ Face-Offs Win%",0.16666666666666666,0.2727272727272727,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",1,0.3333333333333333,""
"Shootout Goals",0,1,""
"Shootout Success %",0,0.5,""
