Metric Label,Montreal,Tampa Bay,Players
"ES Expected Goals For",3.2680655425236513,3.547837652258144,""
"ES Actual to Expected Goals For",-0.15949214025482283,-0.8278359252729209,""
"ES Expected Goals Against",3.547837652258144,3.2680655425236513,""
"ES Actual to Expected Goals Against",-0.8278359252729209,-0.15949214025482283,""
"PP Expected Goals For",2.956868942451713,6.895064370956663,""
"PP Actual to Expected Goals For",8.836742851160087,-3.0019098343501915,""
"SH Expected Goals Against",6.895064370956663,2.956868942451713,""
"SH Actual to Expected Goals Against",-3.0019098343501915,8.836742851160087,""
"ES Shot Attempts For",68.77718652519783,52.06860448800285,""
"ES Shot Attempts Against",52.06860448800285,68.77718652519783,""
"ES% Shot Attempts On Net",0.4745762711864407,0.5149253731343284,""
"ES Screened Shots On Net",8.160005180955675,2.7200017269852235,""
"ES% of Shots On Net That Are Screened",0.25,0.10144927536231885,""
"ES% Face-Offs Won Resulting in Shot On Net",0.3448275862068966,0.3,""
"ES Goals Scored",3.497145077552432,3.1085734022688265,""
"ES Shot Attempts From Slot For",29.531447321553873,26.81144559456863,""
"ES Passes to the Slot For",16.32001036191135,15.931438686627736,""
"ES Shot Attempts From Slot Off the Cycle",10.491435232657297,8.548576856239274,""
"ES Shot Attempts From Slot Off the Rush",7.771433505672072,8.548576856239274,""
"ES Odd Man Rushes",5.440003453970447,5.4400034539704505,""
"ES Shot Attempts From Slot Off the Forecheck",1.942858376418018,1.5542867011344133,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",2.7200017269852252,2.33143005170162,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.13793103448275862,0.2,""
"ES Shot Attempts From Slot Against",26.81144559456863,29.531447321553873,""
"ES Shots On Net From Slot Against",17.48572538776215,14.377151985493333,""
"ES% of Opposition Shot Attempts Blocked",0.26865671641791045,0.2824858757062147,""
"ES Shot Attempts From Slot Off the Cycle Against",8.548576856239274,10.491435232657297,""
"ES Shot Attempts From Slot Off the Rush Against",8.548576856239274,7.771433505672072,""
"ES Shot Attempts From Slot Off the Forecheck Against",1.5542867011344133,1.942858376418018,""
"ES Odd Man Rushes Against",5.4400034539704505,5.440003453970447,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.3,0.3448275862068966,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.2,0.13793103448275862,""
"ES OZ Possession Time",392.1076775286871,341.32135956911765,""
"ES OZ Face-Offs Win%",0.48333333333333334,0.38461538461538464,""
"ES OZ Dump-In Recoveries",17.09715371247856,12.045721933791704,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6440677966101694,0.6363636363636364,""
"ES Controlled Entry Success%",0.6907216494845361,0.5263157894736842,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.23545706371191136,0.17647058823529413,""
"ES OZ Shot Attempts Recovered",20.59429879003099,12.82286528435891,""
"ES OZ Contested Loose Puck Recovery Win%",0.29012345679012347,0.29770992366412213,""
"ES Opposition OZ Possession Time",341.32135956911765,392.1076775286871,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.7692307692307693,0.525,""
"ES Team Entry Denial Success%",0.4782608695652174,0.32673267326732675,""
"ES DZ Contested Loose Puck Recovery Win%",0.2875816993464052,0.22695035460992907,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.4404432132963989,0.4294117647058823,""
"ES Breakout Success% (Reaches NZ)",0.6582278481012658,0.5909090909090909,""
"ES Zone Exit Success% (Reaches NZ)",0.8235294117647058,0.7645429362880887,""
"ES Successful Stretch Passes",15.542867011344145,18.65144041361296,""
"Goalie ES Save%",0.8970588235294118,0.9036144578313253,""
"Goalie ES Inner Slot Save%",0.7857142857142857,0.8461538461538461,""
"Goalie ES No Rebound%",0.4098360655737705,0.37333333333333335,""
"Goalie SH Save%",0.9,0.7142857142857143,""
"Goalie SH Inner Slot Save%",1,1,""
"PP Controlled Entry Success%",0.8181818181818182,0.6956521739130435,""
"PP% OZ Zone Time",0.6962598962598968,0.6816625211780396,""
"PP Passes to Slot",0.7862407862407869,2.2061209040770007,""
"PP Shots On Net From Slot For",0.39312039312039343,0.5190872715475295,""
"PP Goals Scored",0.39312039312039343,0.12977181788688238,""
"PP True Shooting % (Goals/Shot Attempts)",0.14285714285714285,0.05,""
"PP OZ Face-Offs Win%",0.4444444444444444,0.46153846153846156,""
"PP% Face-Offs Won Resulting in Shot On Net",0.25,0.6666666666666666,""
"SH Shot Attempts From Slot Against",1.038174543095059,0.9828009828009835,""
"SH Inner Slot Shots On Net Against",0.3893154536606472,0.19656019656019671,""
"SH Goals Against",0.12977181788688238,0.39312039312039343,""
"SH Passes to the Slot Against",2.2061209040770007,0.7862407862407869,""
"SH% of Opposition Shot Attempts Blocked",0.35,0.2857142857142857,""
"SH DZ Entry Denial Success%",0.30434782608695654,0.18181818181818182,""
"SH% DZ Zone Time",0.6816625211780395,0.6962598962598966,""
"SH DZ Face-Offs Win%",0.5384615384615384,0.5555555555555556,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.42857142857142855,0.8,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
