Metric Label,Montreal,NY Rangers,Players
"ES Expected Goals For",3.2136645806234627,2.6255565968932215,""
"ES Actual to Expected Goals For",0.05346896346015151,1.4583603332112933,""
"ES Expected Goals Against",2.6255565968932215,3.2136645806234627,""
"ES Actual to Expected Goals Against",1.4583603332112933,0.05346896346015151,""
"PP Expected Goals For",7.0703908881340105,12.034543684767824,""
"PP Actual to Expected Goals For",-3.4572631908338134,6.176706821100298,""
"SH Expected Goals Against",12.034543684767824,7.0703908881340105,""
"SH Actual to Expected Goals Against",6.176706821100298,-3.4572631908338134,""
"ES Shot Attempts For",60.03357887253642,58.808403793505015,""
"ES Shot Attempts Against",58.808403793505015,60.03357887253642,""
"ES% Shot Attempts On Net",0.5034013605442177,0.4930555555555556,""
"ES Screened Shots On Net",4.49230862311497,6.125875395156773,""
"ES% of Shots On Net That Are Screened",0.14864864864864866,0.2112676056338028,""
"ES% Face-Offs Won Resulting in Shot On Net",0.15789473684210525,0.13333333333333333,""
"ES Goals Scored",3.2671335440836144,4.0839169301045155,""
"ES Shot Attempts From Slot For",26.95385173868982,26.9538517386898,""
"ES Passes to the Slot For",20.01119295751214,13.068534176334449,""
"ES Shot Attempts From Slot Off the Cycle",10.618184018271748,11.434967404292642,""
"ES Shot Attempts From Slot Off the Rush",5.309092009135874,8.984617246229933,""
"ES Odd Man Rushes",3.6755252370940634,6.125875395156777,""
"ES Shot Attempts From Slot Off the Forecheck",2.858741851073163,2.450350158062709,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",2.4503501580627107,1.2251750790313545,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.15789473684210525,0.26666666666666666,""
"ES Shot Attempts From Slot Against",26.9538517386898,26.95385173868982,""
"ES Shots On Net From Slot Against",13.068534176334449,14.702100948376266,""
"ES% of Opposition Shot Attempts Blocked",0.25,0.23809523809523808,""
"ES Shot Attempts From Slot Off the Cycle Against",11.434967404292642,10.618184018271748,""
"ES Shot Attempts From Slot Off the Rush Against",8.984617246229933,5.309092009135874,""
"ES Shot Attempts From Slot Off the Forecheck Against",2.450350158062709,2.858741851073163,""
"ES Odd Man Rushes Against",6.125875395156777,3.6755252370940634,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.13333333333333333,0.15789473684210525,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.26666666666666666,0.15789473684210525,""
"ES OZ Possession Time",339.5504666253227,339.30543160951663,""
"ES OZ Face-Offs Win%",0.5135135135135135,0.42857142857142855,""
"ES OZ Dump-In Recoveries",21.236368036543496,15.92727602740761,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.6756756756756757,0.6388888888888888,""
"ES Controlled Entry Success%",0.5882352941176471,0.611764705882353,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.23939393939393938,0.17220543806646527,""
"ES OZ Shot Attempts Recovered",13.885317562355363,15.518884334397157,""
"ES OZ Contested Loose Puck Recovery Win%",0.25,0.19540229885057472,""
"ES Opposition OZ Possession Time",339.30543160951663,339.5504666253227,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.5652173913043478,0.5454545454545454,""
"ES Team Entry Denial Success%",0.38823529411764707,0.4077669902912621,""
"ES DZ Contested Loose Puck Recovery Win%",0.29069767441860467,0.29906542056074764,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.41818181818181815,0.3776435045317221,""
"ES Breakout Success% (Reaches NZ)",0.6573033707865169,0.6049382716049383,""
"ES Zone Exit Success% (Reaches NZ)",0.8277945619335347,0.7606060606060606,""
"ES Successful Stretch Passes",16.335667720418073,12.251750790313546,""
"Goalie ES Save%",0.8591549295774648,0.8918918918918919,""
"Goalie ES Inner Slot Save%",0.7058823529411765,0.6875,""
"Goalie ES No Rebound%",0.3770491803278688,0.2878787878787879,""
"Goalie SH Save%",0.75,0.9,""
"Goalie SH Inner Slot Save%",0.6666666666666666,0.8333333333333334,""
"PP Controlled Entry Success%",0.8,0.6666666666666666,""
"PP% OZ Zone Time",0.6342042755344414,0.7446306121640053,""
"PP Passes to Slot",1.445251078920079,1.6997167138810245,""
"PP Shots On Net From Slot For",0.9635007192800527,1.8211250505868122,""
"PP Goals Scored",0.12043758991000658,0.6070416835289374,""
"PP True Shooting % (Goals/Shot Attempts)",0.043478260869565216,0.1388888888888889,""
"PP OZ Face-Offs Win%",0.4,0.631578947368421,""
"PP% Face-Offs Won Resulting in Shot On Net",0.25,0.25,""
"SH Shot Attempts From Slot Against",2.1853500607041747,1.8065638486500986,""
"SH Inner Slot Shots On Net Against",0.3642250101173624,0.7226255394600395,""
"SH Goals Against",0.6070416835289374,0.12043758991000658,""
"SH Passes to the Slot Against",1.6997167138810245,1.445251078920079,""
"SH% of Opposition Shot Attempts Blocked",0.2222222222222222,0.34782608695652173,""
"SH DZ Entry Denial Success%",0.3333333333333333,0.2,""
"SH% DZ Zone Time",0.7422074937049298,0.6342042755344425,""
"SH DZ Face-Offs Win%",0.3684210526315789,0.6,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.8571428571428571,0.6666666666666666,""
"Shootout Goals",0,0,""
"Shootout Success %",0,0,""
