Metric Label,Montreal,NY Islanders,Players
"ES Expected Goals For",2.681936431885027,2.9302080934802137,""
"ES Actual to Expected Goals For",-1.0786586194685313,-1.326930281063718,""
"ES Expected Goals Against",2.9302080934802137,2.681936431885027,""
"ES Actual to Expected Goals Against",-1.326930281063718,-1.0786586194685313,""
"PP Expected Goals For",14.509185996450038,6.830851577605469,""
"PP Actual to Expected Goals For",3.139795374069644,2.121650425655011,""
"SH Expected Goals Against",6.830851577605469,14.509185996450038,""
"SH Actual to Expected Goals Against",2.121650425655011,3.139795374069644,""
"ES Shot Attempts For",52.50734835664024,60.122917965618576,""
"ES Shot Attempts Against",60.122917965618576,52.50734835664024,""
"ES% Shot Attempts On Net",0.5190839694656488,0.4666666666666667,""
"ES Screened Shots On Net",3.607375077937116,4.409013984145362,""
"ES% of Shots On Net That Are Screened",0.1323529411764706,0.15714285714285714,""
"ES% Face-Offs Won Resulting in Shot On Net",0.05263157894736842,0.15,""
"ES Goals Scored",1.6032778124164961,1.6032778124164955,""
"ES Shot Attempts From Slot For",26.05326445176806,23.648347733143307,""
"ES Passes to the Slot For",15.231139217956713,12.024583593123715,""
"ES Shot Attempts From Slot Off the Cycle",9.619666874498977,10.822125233811343,""
"ES Shot Attempts From Slot Off the Rush",8.818027968290728,4.809833437249486,""
"ES Odd Man Rushes",6.012291796561858,4.00819453104124,""
"ES Shot Attempts From Slot Off the Forecheck",2.404916718624744,2.004097265520619,""
"ES 2nd Chance (Rebound) Shot Attempts From Slot",2.805736171728868,2.404916718624743,""
"ES% Face-Offs Won Resulting in Shot Attempt From Slot",0.21052631578947367,0.15,""
"ES Shot Attempts From Slot Against",23.648347733143307,26.05326445176806,""
"ES Shots On Net From Slot Against",14.028680858644334,15.231139217956713,""
"ES% of Opposition Shot Attempts Blocked",0.3466666666666667,0.2595419847328244,""
"ES Shot Attempts From Slot Off the Cycle Against",10.822125233811343,9.619666874498977,""
"ES Shot Attempts From Slot Off the Rush Against",4.809833437249486,8.818027968290728,""
"ES Shot Attempts From Slot Off the Forecheck Against",2.004097265520619,2.404916718624744,""
"ES Odd Man Rushes Against",4.00819453104124,6.012291796561858,""
"ES% DZ Face-Offs Lost Resulting in Shot Against",0.15,0.05263157894736842,""
"ES% DZ Face-Offs Lost Resulting in Shot From Slot Attempt Against",0.15,0.21052631578947367,""
"ES OZ Possession Time",319.38630088180463,403.4114189008631,""
"ES OZ Face-Offs Win%",0.5277777777777778,0.47619047619047616,""
"ES OZ Dump-In Recoveries",18.83851429589383,12.024583593123715,""
"ES% Pressure OZ Dump-Ins Without Opposition Exit on Forecheck",0.4794520547945205,0.6666666666666666,""
"ES Controlled Entry Success%",0.47126436781609193,0.4479166666666667,""
"ES Forechecking Success% (Opposition Does Not Reach NZ)",0.14018691588785046,0.15644171779141106,""
"ES OZ Shot Attempts Recovered",12.425403046227844,16.834417030373203,""
"ES OZ Contested Loose Puck Recovery Win%",0.2695035460992908,0.22297297297297297,""
"ES Opposition OZ Possession Time",403.4114189008631,319.38630088180463,""
"ES% Pressure DZ Dump-In Recoveries with Clean Exit",0.6086956521739131,0.8085106382978723,""
"ES Team Entry Denial Success%",0.5408163265306123,0.5287356321839081,""
"ES DZ Contested Loose Puck Recovery Win%",0.30656934306569344,0.23076923076923078,""
"ES Forechecking Success% (Opposition Does Not Reach Your DZ)",0.3613707165109034,0.35276073619631904,""
"ES Breakout Success% (Reaches NZ)",0.6756756756756757,0.6896551724137931,""
"ES Zone Exit Success% (Reaches NZ)",0.843558282208589,0.8598130841121495,""
"ES Successful Stretch Passes",14.429500311748464,16.834417030373203,""
"Goalie ES Save%",0.9428571428571428,0.9411764705882353,""
"Goalie ES Inner Slot Save%",0.8421052631578947,0.8888888888888888,""
"Goalie ES No Rebound%",0.30303030303030304,0.234375,""
"Goalie SH Save%",0.8235294117647058,0.7857142857142857,""
"Goalie SH Inner Slot Save%",0.8,1,""
"PP Controlled Entry Success%",0.8,0.65,""
"PP% OZ Zone Time",0.7729600174310923,0.6889558177447437,""
"PP Passes to Slot",1.9609979300577423,1.49208366721008,""
"PP Shots On Net From Slot For",0.9804989650288711,0.99472244480672,""
"PP Goals Scored",0.5882993790173227,0.298416733442016,""
"PP True Shooting % (Goals/Shot Attempts)",0.12,0.08333333333333333,""
"PP OZ Face-Offs Win%",0.5454545454545454,0.7058823529411765,""
"PP% Face-Offs Won Resulting in Shot On Net",0.6666666666666666,0.16666666666666666,""
"SH Shot Attempts From Slot Against",1.98944488961344,1.9609979300577423,""
"SH Inner Slot Shots On Net Against",0.49736122240336,0.784399172023097,""
"SH Goals Against",0.298416733442016,0.5882993790173227,""
"SH Passes to the Slot Against",1.49208366721008,1.9609979300577423,""
"SH% of Opposition Shot Attempts Blocked",0.2222222222222222,0.24,""
"SH DZ Entry Denial Success%",0.35,0.2,""
"SH% DZ Zone Time",0.6889558177447437,0.7729600174310925,""
"SH DZ Face-Offs Win%",0.29411764705882354,0.45454545454545453,""
"SH% DZ Face-Offs Won Resulting in Clean DZ Exit",0.6,0.2,""
"Shootout Goals",2,3,""
"Shootout Success %",0.2222222222222222,0.3333333333333333,""
